driver_id,task_id,record_id,session_id,vehicle_id,vehicle_name,timestamp_offset_ms,run_id_prefix,replacement_status
D01,7901,1766284175,7901-1766284175,8001,VEHICLE_D01,86400000,onsite:shanghai:D01,NEEDS_REAL_INPUT
D02,7902,1766370575,7902-1766370575,8002,VEHICLE_D02,172800000,onsite:shanghai:D02,NEEDS_REAL_INPUT
D03,7903,1766456975,7903-1766456975,8003,VEHICLE_D03,259200000,onsite:shanghai:D03,NEEDS_REAL_INPUT
D04,7904,1766543375,7904-1766543375,8004,VEHICLE_D04,345600000,onsite:shanghai:D04,NEEDS_REAL_INPUT
D05,7905,1766629775,7905-1766629775,8005,VEHICLE_D05,432000000,onsite:shanghai:D05,NEEDS_REAL_INPUT
D06,7906,1766716175,7906-1766716175,8006,VEHICLE_D06,518400000,onsite:shanghai:D06,NEEDS_REAL_INPUT
D07,7907,1766802575,7907-1766802575,8007,VEHICLE_D07,604800000,onsite:shanghai:D07,NEEDS_REAL_INPUT
D08,7908,1766888975,7908-1766888975,8008,VEHICLE_D08,691200000,onsite:shanghai:D08,NEEDS_REAL_INPUT
D09,7909,1766975375,7909-1766975375,8009,VEHICLE_D09,777600000,onsite:shanghai:D09,NEEDS_REAL_INPUT
D10,7910,1767061775,7910-1767061775,8010,VEHICLE_D10,864000000,onsite:shanghai:D10,NEEDS_REAL_INPUT
D11,7911,1767148175,7911-1767148175,8011,VEHICLE_D11,950400000,onsite:shanghai:D11,NEEDS_REAL_INPUT
D12,7912,1767234575,7912-1767234575,8012,VEHICLE_D12,1036800000,onsite:shanghai:D12,NEEDS_REAL_INPUT
D13,7913,1767320975,7913-1767320975,8013,VEHICLE_D13,1123200000,onsite:shanghai:D13,NEEDS_REAL_INPUT
D14,7914,1767407375,7914-1767407375,8014,VEHICLE_D14,1209600000,onsite:shanghai:D14,NEEDS_REAL_INPUT
D15,7915,1767493775,7915-1767493775,8015,VEHICLE_D15,1296000000,onsite:shanghai:D15,NEEDS_REAL_INPUT
D16,7916,1767580175,7916-1767580175,8016,VEHICLE_D16,1382400000,onsite:shanghai:D16,NEEDS_REAL_INPUT
D17,7917,1767666575,7917-1767666575,8017,VEHICLE_D17,1468800000,onsite:shanghai:D17,NEEDS_REAL_INPUT
D18,7918,1767752975,7918-1767752975,8018,VEHICLE_D18,1555200000,onsite:shanghai:D18,NEEDS_REAL_INPUT
D19,7919,1767839375,7919-1767839375,8019,VEHICLE_D19,1641600000,onsite:shanghai:D19,NEEDS_REAL_INPUT
D20,7920,1767925775,7920-1767925775,8020,VEHICLE_D20,1728000000,onsite:shanghai:D20,NEEDS_REAL_INPUT
