seat,metric,contrast,estimate,ci_low,ci_high,n_subjects,n_ratings_in_metric,scope
ego,q1_rev,A-W,0.565,0.2312395833,0.9025104167,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q1_rev,C-W,0.7454166667,0.6045833333,0.87875,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q1_rev,A-C,-0.1804166667,-0.48125,0.1166666667,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q2_yield_bipolar,A-W,0.02166666667,-0.3241770833,0.3787604167,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q2_yield_bipolar,C-W,0.5220833333,0.2712395833,0.7687604167,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q2_yield_bipolar,A-C,-0.5004166667,-0.7454270833,-0.2604166667,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q3,A-W,-0.7070833333,-0.8908333333,-0.5283333333,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q3,C-W,-0.5045833333,-0.6745833333,-0.3245833333,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q3,A-C,-0.2025,-0.3679270833,-0.03832291667,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q4,A-W,-0.7195833333,-0.8445833333,-0.5979166667,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q4,C-W,-0.37625,-0.4891770833,-0.26540625,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
ego,q4,A-C,-0.3433333333,-0.47,-0.2233333333,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q1_rev,A-W,0.6979166667,0.3520729167,1.07959375,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q1_rev,C-W,0.70875,0.5658333333,0.855,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q1_rev,A-C,-0.01083333333,-0.28209375,0.2720833333,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q2_yield_bipolar,A-W,-0.1866666667,-0.4437604167,0.08251041667,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q2_yield_bipolar,C-W,0.3933333333,0.21,0.58375,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q2_yield_bipolar,A-C,-0.58,-0.8075104167,-0.3554166667,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q3,A-W,-0.84625,-1.03375,-0.6625,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q3,C-W,-0.51625,-0.6975,-0.3399895833,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q3,A-C,-0.33,-0.53,-0.1295729167,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q4,A-W,-1.110833333,-1.24375,-0.9858333333,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q4,C-W,-0.2258333333,-0.3516666667,-0.1058333333,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q4,A-C,-0.885,-0.9870833333,-0.7837395833,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q5_cost_cp,A-W,2.0825,1.884583333,2.281666667,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q5_cost_cp,C-W,0.9504166667,0.8025,1.107083333,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q5_cost_cp,A-C,1.132083333,0.97875,1.279583333,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q5b,A-W,0.04833333333,-0.07291666667,0.1633333333,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q5b,C-W,0.075,-0.03458333333,0.1829166667,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
cp,q5b,A-C,-0.02666666667,-0.1504270833,0.09708333333,40,562,sensitivity excluding supplied alt27=1; no primary exclusion
