seat,metric,contrast,estimate,ci_low,ci_high,n_common_scenarios,n_positive,n_negative,n_zero,ci_method,scope
ego,q1_rev,A-W,0.6651785714,0.09821428571,1.245535714,8,6,2,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q1_rev,C-W,0.9279100529,0.6560846561,1.206349206,9,9,0,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q1_rev,A-C,-0.2626984127,-0.6426636905,0.1220238095,12,3,9,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q2_yield_bipolar,A-W,0.165922619,-0.3653645833,0.6845238095,8,5,3,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q2_yield_bipolar,C-W,0.5806878307,0.1395337302,1.088640873,9,7,2,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q2_yield_bipolar,A-C,-0.6907738095,-1.192363591,-0.126780754,12,2,10,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q3,A-W,-0.6436011905,-0.7358630952,-0.5319940476,8,0,8,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q3,C-W,-0.4927248677,-0.6382275132,-0.3802910053,9,0,9,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q3,A-C,-0.1780753968,-0.3412698413,-0.02777777778,12,5,7,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q4,A-W,-0.650297619,-0.7827380952,-0.5171130952,8,0,8,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q4,C-W,-0.3518518519,-0.4239417989,-0.2764550265,9,0,9,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
ego,q4,A-C,-0.3225198413,-0.4003000992,-0.2296626984,12,1,11,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q1_rev,A-W,0.8504464286,0.1443452381,1.65625,8,6,2,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q1_rev,C-W,0.9490740741,0.5422949735,1.413359788,9,9,0,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q1_rev,A-C,-0.07232142857,-0.480062004,0.3516865079,12,6,6,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q2_yield_bipolar,A-W,-0.2998511905,-0.6741071429,0.07291666667,8,2,6,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q2_yield_bipolar,C-W,0.3677248677,-0.09060846561,0.8115244709,9,6,3,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q2_yield_bipolar,A-C,-0.7587301587,-1.248536706,-0.3095064484,12,1,11,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q3,A-W,-0.775297619,-0.9523809524,-0.5706845238,8,0,8,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q3,C-W,-0.4847883598,-0.6494708995,-0.3386243386,9,0,9,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q3,A-C,-0.3369047619,-0.5024801587,-0.1559474206,12,1,11,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q4,A-W,-1.119791667,-1.212053571,-1.020089286,8,0,8,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q4,C-W,-0.2447089947,-0.4173280423,-0.0787037037,9,2,7,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q4,A-C,-0.8514880952,-0.9824404762,-0.7251984127,12,0,12,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q5_cost_cp,A-W,2.005208333,1.839285714,2.178571429,8,8,0,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q5_cost_cp,C-W,0.9146825397,0.7711640212,1.068138228,9,9,0,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q5_cost_cp,A-C,1.19077381,0.9910714286,1.402790179,12,12,0,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q5b,A-W,0.04389880952,-0.07886904762,0.1636904762,8,6,2,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q5b,C-W,0.1097883598,-0.01785714286,0.2466931217,9,5,4,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
cp,q5b,A-C,-0.08650793651,-0.2266914683,0.0521875,12,4,8,0,10000 scenario percentile bootstrap; fixed observed raters,descriptive sensitivity; selected scenario population only
