trial_id,subject_id,seat,segment_id,class,scenario_id,pair_id,mean_pre,count_pre,mean_post,count_post,delta_dial_z
P01A_T03,H0021,ego,S966,A,A2,P01,0.7295234279,20,1.069706399,20,0.3401829714
P01A_T03,H0022,cp,S966,A,A2,P01,0.2718403921,20,1.280391118,20,1.008550726
P01A_T04,H0021,ego,S206,C,A7,P01,0.4407254878,20,1.024388401,20,0.5836629137
P01A_T04,H0022,cp,S206,C,A7,P01,0.3783289109,20,0.9203372799,20,0.542008369
P01A_T05,H0021,ego,S226,W,B3,P01,0.6445968803,20,0.188448943,20,-0.4561479373
P01A_T05,H0022,cp,S226,W,B3,P01,0.1095234089,20,0.2636600884,20,0.1541366795
P01A_T06,H0021,ego,S136,C,B1,P01,0.3308513942,20,1.356466102,20,1.025614708
P01A_T06,H0022,cp,S136,C,B1,P01,0.4724566174,20,1.630108136,20,1.157651519
P01A_T07,H0021,ego,S367,A,A1,P01,0.6341077066,20,1.685695039,20,1.051587332
P01A_T07,H0022,cp,S367,A,A1,P01,0.707480718,20,2.378383043,20,1.670902325
P01A_T08,H0021,ego,S984,W,C1,P01,0.3002063199,20,1.207543676,20,0.9073373562
P01A_T08,H0022,cp,S984,W,C1,P01,0.2158794044,20,1.294679542,20,1.078800138
P01A_T09,H0021,ego,S190,C,B1,P01,0.5911259339,20,0.8298738286,20,0.2387478948
P01A_T09,H0022,cp,S190,C,B1,P01,0.4194593333,20,0.6716030385,20,0.2521437052
P01A_T10,H0021,ego,S222,C,A6,P01,0.5638302435,20,0.7913737937,20,0.2275435502
P01A_T10,H0022,cp,S222,C,A6,P01,0.5252852355,20,1.069691072,20,0.5444058365
P01A_T11,H0021,ego,S240,W,B3,P01,0.2317048646,20,0.196172789,20,-0.0355320756
P01A_T11,H0022,cp,S240,W,B3,P01,0.3272110486,20,-0.131705193,20,-0.4589162415
P01A_T12,H0021,ego,S229,A,A2,P01,0.3392784916,20,1.632581678,20,1.293303186
P01A_T12,H0022,cp,S229,A,A2,P01,0.4765407454,20,1.551353136,20,1.07481239
P01A_T13,H0021,ego,S551,C,A6,P01,0.4095321158,20,0.2021087077,20,-0.2074234081
P01A_T13,H0022,cp,S551,C,A6,P01,0.1247756394,20,0.6048233281,20,0.4800476888
P01A_T14,H0021,ego,S578,W,B4,P01,0.03785778457,20,-0.2418098068,20,-0.2796675913
P01A_T14,H0022,cp,S578,W,B4,P01,0.1134750137,20,0.1179446641,20,0.004469650467
P01A_T15,H0021,ego,S609,A,A1,P01,0.2952954796,20,2.31984902,20,2.024553541
P01A_T15,H0022,cp,S609,A,A1,P01,0.7851875792,20,2.429886428,20,1.644698849
P01A_T16,H0021,ego,S699,C,A7,P01,0.2662714594,20,1.021086696,20,0.7548152363
P01A_T16,H0022,cp,S699,C,A7,P01,0.07252530495,20,0.9665999693,20,0.8940746644
P01A_T17,H0021,ego,S874,W,B4,P01,0.02900158458,20,0.5767509982,20,0.5477494136
P01A_T17,H0022,cp,S874,W,B4,P01,0.1391122541,20,0.3023087102,20,0.1631964562
P01B_T03,H0021,cp,S511,A,A6,P01,0.3787201683,20,1.496925673,20,1.118205504
P01B_T03,H0022,ego,S511,A,A6,P01,0.4612644199,20,0.9356738433,20,0.4744094235
P01B_T04,H0021,cp,S564,A,A5,P01,0.2072221798,20,1.89279662,20,1.68557444
P01B_T04,H0022,ego,S564,A,A5,P01,0.3936654744,20,1.69423738,20,1.300571905
