pair_id,seat,metric,contrast,difference
P01,ego,q1_rev,A-W,1.6
P02,ego,q1_rev,A-W,-0.075
P03,ego,q1_rev,A-W,0.65
P04,ego,q1_rev,A-W,-0.55
P05,ego,q1_rev,A-W,0.675
P06,ego,q1_rev,A-W,0.85
P07,ego,q1_rev,A-W,1.366666667
P08,ego,q1_rev,A-W,-0.2
P09,ego,q1_rev,A-W,0.9
P10,ego,q1_rev,A-W,-0.375
P11,ego,q1_rev,A-W,0.75
P12,ego,q1_rev,A-W,0.1
P13,ego,q1_rev,A-W,1.4
P14,ego,q1_rev,A-W,-0.725
P15,ego,q1_rev,A-W,0.55
P16,ego,q1_rev,A-W,0.35
P17,ego,q1_rev,A-W,0.775
P18,ego,q1_rev,A-W,0.4916666667
P19,ego,q1_rev,A-W,1.225
P20,ego,q1_rev,A-W,-0.45
P01,ego,q1_rev,C-W,1.016666667
P02,ego,q1_rev,C-W,0.55
P03,ego,q1_rev,C-W,1.108333333
P04,ego,q1_rev,C-W,0.03333333333
P05,ego,q1_rev,C-W,0.4666666667
P06,ego,q1_rev,C-W,0.6833333333
P07,ego,q1_rev,C-W,1.2
P08,ego,q1_rev,C-W,0.4666666667
P09,ego,q1_rev,C-W,0.8166666667
P10,ego,q1_rev,C-W,0.8333333333
P11,ego,q1_rev,C-W,1.25
P12,ego,q1_rev,C-W,0.25
P13,ego,q1_rev,C-W,0.65
P14,ego,q1_rev,C-W,0.65
P15,ego,q1_rev,C-W,0.8
P16,ego,q1_rev,C-W,0.6
P17,ego,q1_rev,C-W,1.066666667
P18,ego,q1_rev,C-W,1.283333333
P19,ego,q1_rev,C-W,0.6833333333
P20,ego,q1_rev,C-W,0.7166666667
P01,ego,q1_rev,A-C,0.5833333333
P02,ego,q1_rev,A-C,-0.625
P03,ego,q1_rev,A-C,-0.4583333333
P04,ego,q1_rev,A-C,-0.5833333333
P05,ego,q1_rev,A-C,0.2083333333
P06,ego,q1_rev,A-C,0.1666666667
P07,ego,q1_rev,A-C,0.1666666667
P08,ego,q1_rev,A-C,-0.6666666667
P09,ego,q1_rev,A-C,0.08333333333
P10,ego,q1_rev,A-C,-1.208333333
P11,ego,q1_rev,A-C,-0.5
P12,ego,q1_rev,A-C,-0.15
P13,ego,q1_rev,A-C,0.75
P14,ego,q1_rev,A-C,-1.375
P15,ego,q1_rev,A-C,-0.25
P16,ego,q1_rev,A-C,-0.25
P17,ego,q1_rev,A-C,-0.2916666667
P18,ego,q1_rev,A-C,-0.7916666667
P19,ego,q1_rev,A-C,0.5416666667
P20,ego,q1_rev,A-C,-1.166666667
P01,ego,q2_yield_bipolar,A-W,0.7
P02,ego,q2_yield_bipolar,A-W,1.675
P03,ego,q2_yield_bipolar,A-W,-1.475
P04,ego,q2_yield_bipolar,A-W,0.8
P05,ego,q2_yield_bipolar,A-W,0.55
P06,ego,q2_yield_bipolar,A-W,-0.525
P07,ego,q2_yield_bipolar,A-W,-0.09166666667
P08,ego,q2_yield_bipolar,A-W,0.7
P09,ego,q2_yield_bipolar,A-W,-0.75
P10,ego,q2_yield_bipolar,A-W,-0.225
P11,ego,q2_yield_bipolar,A-W,-0.15
P12,ego,q2_yield_bipolar,A-W,0.475
P13,ego,q2_yield_bipolar,A-W,-0.95
P14,ego,q2_yield_bipolar,A-W,0.625
P15,ego,q2_yield_bipolar,A-W,-1.125
P16,ego,q2_yield_bipolar,A-W,0.8
P17,ego,q2_yield_bipolar,A-W,-0.4
P18,ego,q2_yield_bipolar,A-W,-0.925
P19,ego,q2_yield_bipolar,A-W,-0.3
P20,ego,q2_yield_bipolar,A-W,0.85
P01,ego,q2_yield_bipolar,C-W,1.366666667
P02,ego,q2_yield_bipolar,C-W,1.383333333
P03,ego,q2_yield_bipolar,C-W,0.3583333333
P04,ego,q2_yield_bipolar,C-W,1.3
P05,ego,q2_yield_bipolar,C-W,0.3833333333
P06,ego,q2_yield_bipolar,C-W,0.35
P07,ego,q2_yield_bipolar,C-W,0.1166666667
P08,ego,q2_yield_bipolar,C-W,0.95
P09,ego,q2_yield_bipolar,C-W,0.5
P10,ego,q2_yield_bipolar,C-W,0.15
P11,ego,q2_yield_bipolar,C-W,0.35
P12,ego,q2_yield_bipolar,C-W,1
P13,ego,q2_yield_bipolar,C-W,-0.03333333333
P14,ego,q2_yield_bipolar,C-W,1
P15,ego,q2_yield_bipolar,C-W,0.1666666667
P16,ego,q2_yield_bipolar,C-W,0.9666666667
