pair_id,subject_id,seat,metric,contrast,difference
P01,H0021,ego,q1_rev,A-W,1.75
P01,H0022,ego,q1_rev,A-W,1.45
P02,H0023,ego,q1_rev,A-W,0.15
P02,H0024,ego,q1_rev,A-W,-0.3
P03,H0025,ego,q1_rev,A-W,1.5
P03,H0026,ego,q1_rev,A-W,-0.2
P04,H0027,ego,q1_rev,A-W,-0.85
P04,H0028,ego,q1_rev,A-W,-0.25
P05,H0029,ego,q1_rev,A-W,0.45
P05,H0030,ego,q1_rev,A-W,0.9
P06,H0031,ego,q1_rev,A-W,0.9
P06,H0032,ego,q1_rev,A-W,0.8
P07,H0033,ego,q1_rev,A-W,0.8
P07,H0034,ego,q1_rev,A-W,1.933333333
P08,H0035,ego,q1_rev,A-W,0.05
P08,H0036,ego,q1_rev,A-W,-0.45
P09,H0037,ego,q1_rev,A-W,1.7
P09,H0038,ego,q1_rev,A-W,0.1
P10,H0039,ego,q1_rev,A-W,-1.1
P10,H0040,ego,q1_rev,A-W,0.35
P11,H0041,ego,q1_rev,A-W,0.8
P11,H0042,ego,q1_rev,A-W,0.7
P12,H0043,ego,q1_rev,A-W,0.3
P12,H0044,ego,q1_rev,A-W,-0.1
P13,H0045,ego,q1_rev,A-W,1.15
P13,H0046,ego,q1_rev,A-W,1.65
P14,H0047,ego,q1_rev,A-W,-0.2
P14,H0048,ego,q1_rev,A-W,-1.25
P15,H0049,ego,q1_rev,A-W,1.8
P15,H0050,ego,q1_rev,A-W,-0.7
P16,H0051,ego,q1_rev,A-W,0.45
P16,H0052,ego,q1_rev,A-W,0.25
P17,H0053,ego,q1_rev,A-W,-0.35
P17,H0054,ego,q1_rev,A-W,1.9
P18,H0055,ego,q1_rev,A-W,0.25
P18,H0056,ego,q1_rev,A-W,0.7333333333
P19,H0057,ego,q1_rev,A-W,1.05
P19,H0058,ego,q1_rev,A-W,1.4
P20,H0059,ego,q1_rev,A-W,0.2
P20,H0060,ego,q1_rev,A-W,-1.1
P01,H0021,ego,q1_rev,C-W,1
P01,H0022,ego,q1_rev,C-W,1.033333333
P02,H0023,ego,q1_rev,C-W,0.5666666667
P02,H0024,ego,q1_rev,C-W,0.5333333333
P03,H0025,ego,q1_rev,C-W,0.75
P03,H0026,ego,q1_rev,C-W,1.466666667
P04,H0027,ego,q1_rev,C-W,0.2333333333
P04,H0028,ego,q1_rev,C-W,-0.1666666667
P05,H0029,ego,q1_rev,C-W,0.8666666667
P05,H0030,ego,q1_rev,C-W,0.06666666667
P06,H0031,ego,q1_rev,C-W,0.9
P06,H0032,ego,q1_rev,C-W,0.4666666667
P07,H0033,ego,q1_rev,C-W,0.9666666667
P07,H0034,ego,q1_rev,C-W,1.433333333
P08,H0035,ego,q1_rev,C-W,0.9666666667
P08,H0036,ego,q1_rev,C-W,-0.03333333333
P09,H0037,ego,q1_rev,C-W,1.2
P09,H0038,ego,q1_rev,C-W,0.4333333333
P10,H0039,ego,q1_rev,C-W,0.7333333333
P10,H0040,ego,q1_rev,C-W,0.9333333333
P11,H0041,ego,q1_rev,C-W,1.633333333
P11,H0042,ego,q1_rev,C-W,0.8666666667
P12,H0043,ego,q1_rev,C-W,0.6
P12,H0044,ego,q1_rev,C-W,-0.1
P13,H0045,ego,q1_rev,C-W,0.4
P13,H0046,ego,q1_rev,C-W,0.9
P14,H0047,ego,q1_rev,C-W,0.6333333333
P14,H0048,ego,q1_rev,C-W,0.6666666667
P15,H0049,ego,q1_rev,C-W,0.8
P15,H0050,ego,q1_rev,C-W,0.8
P16,H0051,ego,q1_rev,C-W,1.2
P16,H0052,ego,q1_rev,C-W,0
P17,H0053,ego,q1_rev,C-W,0.7333333333
P17,H0054,ego,q1_rev,C-W,1.4
P18,H0055,ego,q1_rev,C-W,1.166666667
P18,H0056,ego,q1_rev,C-W,1.4
P19,H0057,ego,q1_rev,C-W,0.6333333333
P19,H0058,ego,q1_rev,C-W,0.7333333333
P20,H0059,ego,q1_rev,C-W,0.7
P20,H0060,ego,q1_rev,C-W,0.7333333333
P01,H0021,ego,q1_rev,A-C,0.75
P01,H0022,ego,q1_rev,A-C,0.4166666667
P02,H0023,ego,q1_rev,A-C,-0.4166666667
P02,H0024,ego,q1_rev,A-C,-0.8333333333
P03,H0025,ego,q1_rev,A-C,0.75
P03,H0026,ego,q1_rev,A-C,-1.666666667
P04,H0027,ego,q1_rev,A-C,-1.083333333
P04,H0028,ego,q1_rev,A-C,-0.08333333333
P05,H0029,ego,q1_rev,A-C,-0.4166666667
P05,H0030,ego,q1_rev,A-C,0.8333333333
P06,H0031,ego,q1_rev,A-C,0
P06,H0032,ego,q1_rev,A-C,0.3333333333
P07,H0033,ego,q1_rev,A-C,-0.1666666667
P07,H0034,ego,q1_rev,A-C,0.5
P08,H0035,ego,q1_rev,A-C,-0.9166666667
P08,H0036,ego,q1_rev,A-C,-0.4166666667
P09,H0037,ego,q1_rev,A-C,0.5
P09,H0038,ego,q1_rev,A-C,-0.3333333333
P10,H0039,ego,q1_rev,A-C,-1.833333333
P10,H0040,ego,q1_rev,A-C,-0.5833333333
P11,H0041,ego,q1_rev,A-C,-0.8333333333
P11,H0042,ego,q1_rev,A-C,-0.1666666667
P12,H0043,ego,q1_rev,A-C,-0.3
P12,H0044,ego,q1_rev,A-C,0
P13,H0045,ego,q1_rev,A-C,0.75
P13,H0046,ego,q1_rev,A-C,0.75
P14,H0047,ego,q1_rev,A-C,-0.8333333333
P14,H0048,ego,q1_rev,A-C,-1.916666667
P15,H0049,ego,q1_rev,A-C,1
P15,H0050,ego,q1_rev,A-C,-1.5
P16,H0051,ego,q1_rev,A-C,-0.75
P16,H0052,ego,q1_rev,A-C,0.25
P17,H0053,ego,q1_rev,A-C,-1.083333333
P17,H0054,ego,q1_rev,A-C,0.5
P18,H0055,ego,q1_rev,A-C,-0.9166666667
P18,H0056,ego,q1_rev,A-C,-0.6666666667
P19,H0057,ego,q1_rev,A-C,0.4166666667
P19,H0058,ego,q1_rev,A-C,0.6666666667
P20,H0059,ego,q1_rev,A-C,-0.5
P20,H0060,ego,q1_rev,A-C,-1.833333333
P01,H0021,ego,q2_yield_bipolar,A-W,1.15
P01,H0022,ego,q2_yield_bipolar,A-W,0.25
