seat,metric,contrast,estimate,ci_low,ci_high,n_subjects,n_pairs,pair_t,df,p_unadjusted,estimand,ci_method,p_holm_30
ego,q1_rev,A-W,0.4654166667,0.17,0.7591770833,40,20,3.020271383,19,0.007038382684,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.07038382684
ego,q1_rev,C-W,0.75625,0.6120833333,0.89625,40,20,10.25506427,19,3.502438855e-09,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,8.756097138e-08
ego,q1_rev,A-C,-0.2908333333,-0.55125,-0.0408125,40,20,-2.171408554,19,0.04277120687,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.342169655
ego,q2_yield_bipolar,A-W,0.01291666667,-0.3391770833,0.3683541667,40,20,0.06964049178,19,0.9452075453,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,1
ego,q2_yield_bipolar,C-W,0.5745833333,0.3425,0.7995833333,40,20,4.824760511,19,0.0001177261007,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.001883617611
ego,q2_yield_bipolar,A-C,-0.5616666667,-0.79334375,-0.3420833333,40,20,-4.782009494,19,0.0001296084068,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.00192353916
ego,q3,A-W,-0.6791666667,-0.8541770833,-0.515,40,20,-7.556720505,19,3.866850164e-07,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,8.120385344e-06
ego,q3,C-W,-0.5020833333,-0.6704166667,-0.32375,40,20,-5.573892483,19,2.24326756e-05,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.0004037881607
ego,q3,A-C,-0.1770833333,-0.3354166667,-0.02291666667,40,20,-2.153706675,19,0.04431502505,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.342169655
ego,q4,A-W,-0.6658333333,-0.8025,-0.5308333333,40,20,-9.351284272,19,1.533073101e-08,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,3.372760822e-07
ego,q4,C-W,-0.35875,-0.4637604167,-0.255,40,20,-6.573325531,19,2.715632965e-06,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,5.431265931e-05
ego,q4,A-C,-0.3070833333,-0.4291666667,-0.1833333333,40,20,-4.786739509,19,0.000128235944,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.00192353916
cp,q1_rev,A-W,0.6391666667,0.31790625,0.99209375,40,20,3.569645436,19,0.002044856897,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.02453828276
cp,q1_rev,C-W,0.6825,0.5483333333,0.8166666667,40,20,9.693942366,19,8.662842042e-09,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,1.99245367e-07
cp,q1_rev,A-C,-0.04333333333,-0.3020833333,0.2275104167,40,20,-0.3106205077,19,0.7594709183,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,1
cp,q2_yield_bipolar,A-W,-0.2275,-0.4929166667,0.05583333333,40,20,-1.579618843,19,0.1306984108,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.6534920539
cp,q2_yield_bipolar,C-W,0.45125,0.2733333333,0.6416666667,40,20,4.614636621,19,0.0001890954378,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.002458240692
cp,q2_yield_bipolar,A-C,-0.67875,-0.925,-0.4354166667,40,20,-5.346576695,19,3.687677781e-05,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.0006269052227
cp,q3,A-W,-0.8220833333,-0.98,-0.6716666667,40,20,-9.995186872,19,5.303997486e-09,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,1.272959397e-07
cp,q3,C-W,-0.5204166667,-0.6879166667,-0.3541666667,40,20,-6.0280143,19,8.461248802e-06,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.0001607637272
cp,q3,A-C,-0.3016666667,-0.4929270833,-0.10625,40,20,-2.971208287,19,0.007845787242,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.07061208518
cp,q4,A-W,-1.090833333,-1.22625,-0.96125,40,20,-15.80626435,19,2.18376287e-12,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,6.114536036e-11
cp,q4,C-W,-0.22125,-0.35125,-0.1,40,20,-3.384884254,19,0.003108934461,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.03419827907
cp,q4,A-C,-0.8695833333,-0.97375,-0.7658229167,40,20,-15.98650216,19,1.785989564e-12,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,5.179369735e-11
cp,q5_cost_cp,A-W,2.070416667,1.885,2.262510417,40,20,20.99490772,19,1.315244174e-14,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,3.945732523e-13
cp,q5_cost_cp,C-W,0.9079166667,0.7708333333,1.050833333,40,20,12.47348501,19,1.344014272e-10,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,3.494437107e-09
cp,q5_cost_cp,A-C,1.1625,1.01875,1.3,40,20,15.66240183,19,2.567609377e-12,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,6.932545319e-11
cp,q5b,A-W,0.0325,-0.0925,0.14625,40,20,0.5144839743,19,0.6128464592,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,1
cp,q5b,C-W,0.09125,-0.01166666667,0.1925,40,20,1.703177797,19,0.1048374224,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,0.6290245343
cp,q5b,A-C,-0.05875,-0.1754166667,0.06333333333,40,20,-0.9452784459,19,0.3563838291,equal-subject mean within-subject class difference; fixed stimulus set,10000 pair-cluster percentile bootstrap,1
