trial_id,segment_id,subject_id,seat,q1_rev,q2_yield_bipolar,q3,q4,q5_cost_cp,q5b,session_id,order_index,status,subject_ego_id,subject_cp_id,included_in_reference_analysis,scenario_id,class,flagged,side,arm,alt27,exceed_peak_rad,inside_margin_min_rad,flag_frac,boundary_margin_rad,pair_id,session_order,block_id
P01A_T03,S966,H0021,ego,5,-1,3,3,,,P01A,3,completed,H0021,H0022,1,A2,A,1,A,human,0,0.297608,,0.03141361257,0.297608,P01,A,B0
P01A_T03,S966,H0022,cp,4,1,4,5,4,6,P01A,3,completed,H0021,H0022,1,A2,A,1,A,human,0,0.297608,,0.03141361257,0.297608,P01,A,B0
P01A_T04,S206,H0021,ego,4,-1,4,4,,,P01A,4,completed,H0021,H0022,1,A7,C,1,C,human,0,0.22674,,0.04188481675,0.22674,P01,A,B0
P01A_T04,S206,H0022,cp,3,-1,5,6,2,7,P01A,4,completed,H0021,H0022,1,A7,C,1,C,human,0,0.22674,,0.04188481675,0.22674,P01,A,B0
P01A_T05,S226,H0021,ego,4,-1,4,4,,,P01A,5,completed,H0021,H0022,1,B3,W,0,none,human,0,,0.520001,0,0.520001,P01,A,B0
P01A_T05,S226,H0022,cp,1,0,5,5,1,5,P01A,5,completed,H0021,H0022,1,B3,W,0,none,human,0,,0.520001,0,0.520001,P01,A,B0
P01A_T06,S136,H0021,ego,2,2,7,5,,,P01A,6,completed,H0021,H0022,1,B1,C,1,C,human,0,0.161874,,0.04188481675,0.161874,P01,A,B0
P01A_T06,S136,H0022,cp,3,1,5,5,3,6,P01A,6,completed,H0021,H0022,1,B1,C,1,C,human,0,0.161874,,0.04188481675,0.161874,P01,A,B0
P01A_T07,S367,H0021,ego,4,0,5,5,,,P01A,7,completed,H0021,H0022,1,A1,A,1,A,human,0,0.298075,,0.03664921466,0.298075,P01,A,B0
P01A_T07,S367,H0022,cp,4,0,5,4,5,6,P01A,7,completed,H0021,H0022,1,A1,A,1,A,human,0,0.298075,,0.03664921466,0.298075,P01,A,B0
