scenario_id,class,arm,n_segments
A1,A,av,1
A1,A,human,1
A1,C,av,1
A1,C,human,1
A1,W,av,2
A1,W,human,2
A2,A,av,1
A2,A,human,1
A2,C,av,1
A2,C,human,1
A2,W,av,1
A2,W,human,1
A3,A,av,1
A3,A,human,1
A3,C,av,1
A3,C,human,1
A4,A,av,1
A4,A,human,1
A4,C,av,1
A4,C,human,1
A5,A,av,1
A5,A,human,1
A5,C,av,1
A5,C,human,1
A5,W,av,2
A5,W,human,2
A6,A,av,1
A6,A,human,1
A6,C,av,2
A6,C,human,2
A6,W,av,2
A6,W,human,2
A7,A,av,1
A7,A,human,1
A7,C,av,2
A7,C,human,2
A7,W,av,1
A7,W,human,1
B1,A,av,1
B1,A,human,1
B1,C,av,2
B1,C,human,2
B2,A,av,1
B2,A,human,1
B2,C,av,1
B2,C,human,1
B3,A,av,1
B3,A,human,1
B3,C,av,1
B3,C,human,1
B3,W,av,2
B3,W,human,2
B4,A,av,1
B4,A,human,1
B4,C,av,1
B4,C,human,1
B4,W,av,2
B4,W,human,2
C1,A,av,1
C1,A,human,1
C1,C,av,1
C1,C,human,1
C1,W,av,1
C1,W,human,1
C2,C,av,1
C2,C,human,1
C3,C,av,1
C3,C,human,1
C4,C,av,1
C4,C,human,1
C4,W,av,2
C4,W,human,2
