segment_id,scenario_id,class,arm,seat,q1_rev,q2_yield_bipolar,q3,q4,q5_cost_cp,q5b
S102,B3,A,human,cp,2.333333333,-0.5,5.333333333,4,3.833333333,5
S102,B3,A,human,ego,2.833333333,-0.3333333333,4.5,4.666666667,,
S123,A5,W,av,cp,1.5,1.166666667,5,5.5,2.5,5.5
S123,A5,W,av,ego,2.5,0.5,4.833333333,5.166666667,,
S128,A3,C,human,cp,2.333333333,0.8333333333,4.666666667,5.5,2.5,5.5
S128,A3,C,human,ego,2.666666667,0.8333333333,4.5,4.833333333,,
S136,B1,C,human,cp,2.571428571,0.7142857143,4.714285714,5.285714286,3.285714286,5.428571429
S136,B1,C,human,ego,2.142857143,1,5.142857143,4.857142857,,
S141,B1,C,human,cp,2.4,-1.2,4.6,4.8,3.2,5.2
S141,B1,C,human,ego,2.8,-1.2,5,4.6,,
S163,B2,A,av,cp,1.5,-1.166666667,4.666666667,4.166666667,4.5,5.666666667
S163,B2,A,av,ego,2.166666667,-0.6666666667,3.5,4.5,,
S172,B4,A,human,cp,3,-0.5,4.333333333,4.333333333,4.333333333,6
S172,B4,A,human,ego,3,0.5,4,4.833333333,,
S190,B1,C,av,cp,2.857142857,-0.2857142857,4.857142857,5,3.571428571,5.714285714
S190,B1,C,av,ego,3.571428571,-0.2857142857,4.428571429,5,,
S206,A7,C,human,cp,4.857142857,0.1428571429,4.714285714,5.428571429,3.285714286,5.571428571
S206,A7,C,human,ego,4.285714286,-0.2857142857,4.285714286,4.857142857,,
S221,C1,C,av,cp,3.142857143,2,4.857142857,5.142857143,3.285714286,5.428571429
S221,C1,C,av,ego,3.571428571,1.714285714,4.571428571,4.857142857,,
S222,A6,C,human,cp,2,-1.142857143,4.714285714,5.142857143,3,5.714285714
S222,A6,C,human,ego,2,-1.285714286,5.142857143,4.857142857,,
S226,B3,W,human,cp,2,-1.142857143,5.428571429,5.142857143,2,5.714285714
S226,B3,W,human,ego,2.857142857,0.1428571429,5,5.142857143,,
S229,A2,A,av,cp,4.857142857,-0.8571428571,3.714285714,4.142857143,4.285714286,5.714285714
S229,A2,A,av,ego,3.571428571,-0.8571428571,4.571428571,4.857142857,,
S230,A5,W,av,cp,1.166666667,0.5,4.833333333,5.333333333,2,5.5
S230,A5,W,av,ego,1.333333333,0.3333333333,5.5,5.5,,
S240,B3,W,av,cp,2.285714286,-0.4285714286,5.428571429,5,2.142857143,5.285714286
S240,B3,W,av,ego,1.857142857,-0.7142857143,5.428571429,5,,
S250,C4,W,av,cp,3.5,0.5,5,5,2.166666667,5.833333333
S250,C4,W,av,ego,3.166666667,1,5.333333333,5.166666667,,
S265,C1,C,human,cp,2.428571429,1,4.428571429,5.142857143,2.714285714,5.571428571
S265,C1,C,human,ego,2.285714286,0.4285714286,4.714285714,5,,
S281,B3,W,human,cp,4.285714286,0.1428571429,5.142857143,5.571428571,2.142857143,5.428571429
S281,B3,W,human,ego,3.857142857,-0.4285714286,5.571428571,5.571428571,,
S282,B4,A,av,cp,3.5,-0.5,4.166666667,3.833333333,4.333333333,5.5
S282,B4,A,av,ego,3.5,-0.3333333333,5,4.333333333,,
S291,A5,W,human,cp,1.142857143,0.8571428571,4.857142857,5.285714286,1.857142857,5.857142857
S291,A5,W,human,ego,1.428571429,0.1428571429,5.285714286,5,,
S310,B2,C,av,cp,2.285714286,1.428571429,4.714285714,4.857142857,3.285714286,5.571428571
S310,B2,C,av,ego,2.142857143,0.8571428571,5,5.285714286,,
S311,A7,C,av,cp,3,1.333333333,4.666666667,5.333333333,2.833333333,5.5
S311,A7,C,av,ego,3.5,1.666666667,4.833333333,5.166666667,,
S316,B1,A,human,cp,2.714285714,-0.4285714286,4.714285714,4.285714286,4.142857143,5.714285714
S316,B1,A,human,ego,2.285714286,-0.5714285714,4.428571429,5,,
S324,B4,C,av,cp,3.428571429,0,4.857142857,4.857142857,3,6
S324,B4,C,av,ego,3.142857143,1.285714286,4.857142857,4.714285714,,
S326,C4,W,av,cp,1.714285714,0,4.857142857,4.714285714,2.142857143,5.285714286
S326,C4,W,av,ego,1.571428571,0,5.142857143,5.285714286,,
S338,C2,C,av,cp,2.428571429,0.1428571429,4.428571429,5,2.428571429,5.857142857
S338,C2,C,av,ego,3.285714286,-0.7142857143,5.142857143,5,,
S339,A7,C,human,cp,1.833333333,0.5,5,5.333333333,3.666666667,5.166666667
S339,A7,C,human,ego,2.333333333,0.3333333333,5.166666667,4.833333333,,
S348,A6,W,av,cp,2.714285714,0.2857142857,5,5.142857143,2.428571429,5.428571429
S348,A6,W,av,ego,2.571428571,0.5714285714,4.571428571,5,,
S367,A1,A,human,cp,3.714285714,0.5714285714,4.285714286,4.285714286,4.285714286,5.714285714
S367,A1,A,human,ego,3.428571429,0.8571428571,4.714285714,4.428571429,,
S370,B2,A,human,cp,2.166666667,0.3333333333,4,4.166666667,4.666666667,5.666666667
S370,B2,A,human,ego,1.833333333,-0.5,4.166666667,5.166666667,,
S378,A7,W,av,cp,2.285714286,1,5.285714286,5.285714286,2.142857143,5.428571429
S378,A7,W,av,ego,2.285714286,0.1428571429,5.142857143,5.142857143,,
S389,C3,C,human,cp,3,-0.8571428571,4.428571429,4.571428571,2.857142857,5.285714286
S389,C3,C,human,ego,3,-1.428571429,4.428571429,4.857142857,,
S398,B3,C,human,cp,3.857142857,0.1428571429,4.571428571,5.285714286,3.142857143,5.571428571
S398,B3,C,human,ego,3.428571429,0.4285714286,5,5.142857143,,
S413,C2,C,human,cp,2.571428571,1,4.428571429,5.571428571,3.142857143,5.571428571
S413,C2,C,human,ego,2.428571429,1.142857143,4.857142857,4.857142857,,
S414,A5,W,human,cp,2.166666667,-0.8333333333,5.5,5.333333333,2.333333333,6
S414,A5,W,human,ego,3.166666667,-0.3333333333,5.166666667,5.166666667,,
S429,A7,W,human,cp,2.166666667,1.333333333,5.5,5.333333333,2,5.833333333
S429,A7,W,human,ego,2,1,4.833333333,5,,
S447,C4,C,human,cp,3.714285714,0.7142857143,5,5,3.714285714,5.571428571
S447,C4,C,human,ego,3.428571429,0.1428571429,5.285714286,5,,
S454,B1,A,av,cp,2.857142857,-0.5714285714,4,4.142857143,4.285714286,5.714285714
S454,B1,A,av,ego,2.571428571,-0.8571428571,5,4.142857143,,
S473,B3,A,av,cp,2.166666667,0.3333333333,4.333333333,4.166666667,3.833333333,5.5
S473,B3,A,av,ego,2.166666667,0.1666666667,4.666666667,4.666666667,,
S481,A1,W,human,cp,1.833333333,0.8333333333,5.5,5.5,2.333333333,5.333333333
S481,A1,W,human,ego,1.166666667,0.3333333333,5.5,4.833333333,,
S486,A6,W,human,cp,2.571428571,-1.142857143,5.285714286,4.857142857,2.142857143,5.571428571
S486,A6,W,human,ego,3,-1,5,5.142857143,,
S489,A6,A,human,cp,2.571428571,-1.571428571,4.857142857,4.142857143,4.285714286,5.571428571
S489,A6,A,human,ego,3.428571429,-0.7142857143,4.714285714,4.714285714,,
S494,C4,C,av,cp,3.714285714,0.1428571429,4.142857143,5.285714286,3.285714286,5.285714286
S494,C4,C,av,ego,3.857142857,-0.2857142857,4.285714286,4.857142857,,
S502,A5,C,av,cp,4.5,0.1666666667,5.166666667,4.833333333,2.833333333,5.666666667
S502,A5,C,av,ego,4.833333333,0.8333333333,4.5,4.666666667,,
S506,A7,A,av,cp,2.142857143,0.7142857143,4.285714286,4.142857143,4.285714286,6.142857143
S506,A7,A,av,ego,1.285714286,1.571428571,4.571428571,4.714285714,,
S511,A6,A,av,cp,3,-0.6666666667,4.833333333,4.166666667,4.166666667,5.5
S511,A6,A,av,ego,3.166666667,-1.333333333,4.166666667,5,,
S520,B3,C,av,cp,2.571428571,-0.2857142857,4.285714286,4.714285714,3.285714286,6
S520,B3,C,av,ego,3,-0.4285714286,4.857142857,4.857142857,,
S551,A6,C,av,cp,3.285714286,2.142857143,4.857142857,5,2.571428571,5.714285714
S551,A6,C,av,ego,3.285714286,2,4.285714286,4.714285714,,
S554,A1,W,human,cp,3.571428571,-0.5714285714,4.857142857,5.285714286,2.428571429,5
S554,A1,W,human,ego,3.428571429,-1.142857143,4.857142857,5.571428571,,
S564,A5,A,human,cp,4.285714286,-0.1428571429,4.142857143,4.285714286,4.857142857,5.571428571
S564,A5,A,human,ego,4.571428571,-0.5714285714,4.571428571,4.428571429,,
S578,B4,W,human,cp,3.142857143,-1.142857143,5.285714286,5.428571429,1.714285714,5.714285714
S578,B4,W,human,ego,2.857142857,-1.285714286,5,5.714285714,,
S609,A1,A,av,cp,3.714285714,0.1428571429,4.714285714,4.428571429,4.428571429,5.142857143
S609,A1,A,av,ego,2.142857143,0.5714285714,4.285714286,5.285714286,,
S613,A4,C,av,cp,2.666666667,1.5,4.166666667,4.666666667,3.5,5.5
S613,A4,C,av,ego,2.666666667,1.666666667,4.666666667,5.166666667,,
S643,C4,W,human,cp,1.571428571,-0.5714285714,5.285714286,5.285714286,2.428571429,5.571428571
S643,C4,W,human,ego,1.714285714,-0.2857142857,5,5.571428571,,
S673,A6,C,human,cp,4,-0.6666666667,5.166666667,5.333333333,3.333333333,5.666666667
S673,A6,C,human,ego,4,-0.6666666667,4.333333333,5.333333333,,
S681,A3,A,av,cp,2.714285714,-0.2857142857,4.285714286,4.285714286,4.428571429,5.571428571
S681,A3,A,av,ego,2.571428571,-0.1428571429,4.714285714,4.571428571,,
S692,A2,W,human,cp,2.5,-0.3333333333,5,5.666666667,2.5,5.5
S692,A2,W,human,ego,2,0.3333333333,4.833333333,5.333333333,,
S699,A7,C,av,cp,3.571428571,-0.2857142857,5.142857143,5,3.142857143,6
S699,A7,C,av,ego,3,0,4.285714286,4.857142857,,
S706,C1,A,human,cp,3,-0.6666666667,4.166666667,3.833333333,4,5.666666667
S706,C1,A,human,ego,3,0,4.5,4.5,,
S725,A1,C,av,cp,3,0.2857142857,4.857142857,5,2.857142857,5.857142857
S725,A1,C,av,ego,2.142857143,0.4285714286,4.428571429,5,,
S730,B4,C,human,cp,5,-0.8571428571,4.857142857,4.428571429,3.142857143,5.571428571
S730,B4,C,human,ego,4.142857143,-1,4.714285714,5.571428571,,
S751,A2,C,human,cp,3.428571429,1,4.142857143,4.428571429,3.142857143,5.714285714
S751,A2,C,human,ego,3.428571429,1.857142857,4.714285714,4.857142857,,
S756,B4,W,human,cp,1.285714286,1.428571429,5,5.571428571,2.571428571,5.571428571
S756,B4,W,human,ego,1.142857143,0.7142857143,5.142857143,5.142857143,,
S766,A1,W,av,cp,2.5,0,5,5.333333333,2.166666667,5.5
S766,A1,W,av,ego,2.333333333,-0.3333333333,5.333333333,5.166666667,,
S768,C3,C,av,cp,4.428571429,1.285714286,4,4.714285714,3.285714286,5.571428571
S768,C3,C,av,ego,4.285714286,1.714285714,4.571428571,4.857142857,,
S775,A7,A,human,cp,3,1.142857143,4.571428571,4.142857143,4.285714286,5.714285714
S775,A7,A,human,ego,1.857142857,2,4,4.571428571,,
S784,C4,W,human,cp,2.833333333,0,5,5.166666667,2,5.5
S784,C4,W,human,ego,2.5,1,5.166666667,5.666666667,,
S796,A1,W,av,cp,2.428571429,0.1428571429,5.428571429,5.714285714,2.285714286,5.571428571
S796,A1,W,av,ego,2.428571429,-0.2857142857,5.571428571,5.428571429,,
S803,A2,C,av,cp,3.142857143,0.8571428571,4.714285714,5.142857143,2.857142857,5.428571429
S803,A2,C,av,ego,2.428571429,1.285714286,4.571428571,5.142857143,,
S823,A6,W,human,cp,2.333333333,-1.166666667,4.833333333,5.166666667,2.166666667,5.833333333
S823,A6,W,human,ego,2.5,-0.3333333333,5.166666667,5.666666667,,
S824,B1,C,av,cp,2.5,1.666666667,4.166666667,5.166666667,3,5.5
S824,B1,C,av,ego,2.833333333,1,4,5,,
S828,A5,A,av,cp,5,0.4285714286,4.428571429,4.714285714,4.142857143,5.428571429
S828,A5,A,av,ego,4,-0.8571428571,4.571428571,4.428571429,,
S830,B3,W,av,cp,3,-1.285714286,5.571428571,5.285714286,2.285714286,5.428571429
S830,B3,W,av,ego,2.285714286,-1.857142857,5.571428571,5.571428571,,
S836,A3,A,human,cp,2.333333333,-1.166666667,3.833333333,3.666666667,4.666666667,5.333333333
S836,A3,A,human,ego,2.166666667,-0.6666666667,4.666666667,4.5,,
S844,B4,W,av,cp,3.571428571,0.7142857143,5.428571429,5,1.714285714,5.428571429
S844,B4,W,av,ego,2.857142857,0.1428571429,5.428571429,5.714285714,,
S845,B2,C,human,cp,3.285714286,0.5714285714,4.571428571,5,3,6
S845,B2,C,human,ego,2.857142857,0.4285714286,4.285714286,5.142857143,,
S848,A1,C,human,cp,3.857142857,0.7142857143,5,5.142857143,3.285714286,5.857142857
S848,A1,C,human,ego,4.142857143,-0.2857142857,4.285714286,4.571428571,,
S852,A6,C,av,cp,3.833333333,0.1666666667,4.666666667,5,3.333333333,5.5
S852,A6,C,av,ego,4,0.5,5.166666667,5.166666667,,
S857,A3,C,av,cp,2.833333333,0,4,4.833333333,2.5,5.666666667
S857,A3,C,av,ego,3.333333333,0.3333333333,4.833333333,5,,
S874,B4,W,av,cp,2.857142857,-0.2857142857,5,4.857142857,2,5.285714286
S874,B4,W,av,ego,2.714285714,-0.8571428571,5.142857143,5.285714286,,
S888,A5,C,human,cp,3.333333333,0.6666666667,4.333333333,5.166666667,3,5.666666667
S888,A5,C,human,ego,2.666666667,0.8333333333,4.5,5,,
S903,A4,A,av,cp,3.428571429,0.4285714286,4,4,3.857142857,5.142857143
S903,A4,A,av,ego,3.142857143,-0.1428571429,4.428571429,4.857142857,,
S912,A6,W,av,cp,4,0.3333333333,5,5.333333333,2.666666667,5.166666667
S912,A6,W,av,ego,3.333333333,0,5.333333333,5.5,,
S938,A4,C,human,cp,3.166666667,0.3333333333,5.833333333,5,3.333333333,5.5
S938,A4,C,human,ego,3.166666667,0,5,4.833333333,,
S939,C1,A,av,cp,3.166666667,-1.666666667,4.333333333,4,4.166666667,5.5
S939,C1,A,av,ego,2.5,-0.6666666667,5.166666667,4.5,,
S953,A4,A,human,cp,3.142857143,0.2857142857,4.142857143,4.142857143,4.428571429,5.285714286
S953,A4,A,human,ego,2.714285714,0.1428571429,4.571428571,4.571428571,,
S966,A2,A,human,cp,4.571428571,0,4.428571429,4.142857143,3.857142857,5.571428571
S966,A2,A,human,ego,4.714285714,-0.2857142857,4.285714286,4.285714286,,
S975,C1,W,human,cp,3.428571429,0,5.285714286,4.857142857,2.571428571,5.571428571
S975,C1,W,human,ego,3.142857143,-0.8571428571,4.857142857,5.285714286,,
S984,C1,W,av,cp,1.428571429,0.1428571429,5.285714286,5.428571429,2,5.571428571
S984,C1,W,av,ego,1.142857143,1,5.428571429,5.571428571,,
S999,A2,W,av,cp,3.428571429,-0.2857142857,5.285714286,5.285714286,2.142857143,5.571428571
S999,A2,W,av,ego,3.142857143,-1.714285714,5.285714286,5.142857143,,
