area,area_dir,team_dir,team_code,session_id,file_role,suffix,bytes,relative_path,mtime
shanghai,上海赛区,.DS_Store,,,hidden_metadata,,24580,上海赛区/.DS_Store,2026-06-18T15:45:24
shanghai,上海赛区,UE,,,hidden_metadata,,6148,上海赛区/UE/.DS_Store,2026-02-03T09:18:40
shanghai,上海赛区,上海交大_SJTU_ADVRC,T8,6932-1766206403,replay_log,.log,608785,上海赛区/上海交大_SJTU_ADVRC/6932-1766206403/monitor.log,2026-06-18T17:18:38
shanghai,上海赛区,上海交大_SJTU_ADVRC,T8,6932-1766206403,replay_log,.log,79501781,上海赛区/上海交大_SJTU_ADVRC/6932-1766206403/simulation_trajectory.log,2026-06-18T17:18:38
shanghai,上海赛区,上海交大_SJTU_ADVRC,T8,6932-1766206403,replay_log,.log,59795497,上海赛区/上海交大_SJTU_ADVRC/6932-1766206403/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:38
shanghai,上海赛区,上海交大_SJTU_ADVRC,T8,6932-1766206403,replay_log,.log,5317547,上海赛区/上海交大_SJTU_ADVRC/6932-1766206403/vehicle_trajectory.log,2026-06-18T17:18:38
shanghai,上海赛区,上海交大_SJTU_ADVRC,T8,,video,.mp4,1329002707,上海赛区/上海交大_SJTU_ADVRC/STJU_ADVRC_20251220_125336.mp4,2025-12-24T10:08:55
shanghai,上海赛区,上海交大_SJTU_ADVRC,T8,,replay_zip,.zip,13295567,上海赛区/上海交大_SJTU_ADVRC/上海交大_SJTU_ADVRC_6932-1766206403.zip,2025-12-24T10:14:40
shanghai,上海赛区,上海交大_SJTU_ADVRC,T8,,diagnosis_pdf,.pdf,4607550,上海赛区/上海交大_SJTU_ADVRC/上海交通大学_上海交通大学.pdf,2025-12-24T10:16:06
shanghai,上海赛区,上海海事大学_SMU智驾出航,T7,6938-1766210823,replay_log,.log,588459,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823/monitor.log,2026-06-18T17:18:38
shanghai,上海赛区,上海海事大学_SMU智驾出航,T7,6938-1766210823,replay_log,.log,76228444,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823/simulation_trajectory.log,2026-06-18T17:18:38
shanghai,上海赛区,上海海事大学_SMU智驾出航,T7,6938-1766210823,replay_log,.log,71852049,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:39
shanghai,上海赛区,上海海事大学_SMU智驾出航,T7,6938-1766210823,replay_log,.log,71620714,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823/vehicle_perception_trajectory.log,2026-06-18T17:18:39
shanghai,上海赛区,上海海事大学_SMU智驾出航,T7,6938-1766210823,replay_log,.log,5277403,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823/vehicle_trajectory.log,2026-06-18T17:18:38
shanghai,上海赛区,上海海事大学_SMU智驾出航,T7,,video,.mp4,1229544335,上海赛区/上海海事大学_SMU智驾出航/SMU智驾出航20251220_140712.mp4,2025-12-24T10:08:38
shanghai,上海赛区,上海海事大学_SMU智驾出航,T7,,diagnosis_pdf,.pdf,4773747,上海赛区/上海海事大学_SMU智驾出航/上海海事大学_SMU智驾出航.pdf,2025-12-24T10:16:07
shanghai,上海赛区,上海海事大学_SMU智驾出航,T7,,replay_zip,.zip,28673147,上海赛区/上海海事大学_SMU智驾出航/上海海事大学_SMU智驾出航_6938-1766210823.zip,2025-12-24T10:14:50
shanghai,上海赛区,东南大学_e2e,T3,6930-1766202635,replay_log,.log,547652,上海赛区/东南大学_e2e/6930-1766202635/monitor.log,2026-06-18T17:18:39
shanghai,上海赛区,东南大学_e2e,T3,6930-1766202635,replay_log,.log,73101139,上海赛区/东南大学_e2e/6930-1766202635/simulation_trajectory.log,2026-06-18T17:18:39
