area,area_rank,global_rank,team_code,official_name,scenario,safety,efficiency,comfort,compliance,coordination,comprehensive
beijing,1,2,T17,panda,A1,100,66.55,100,100,73.6,79.42
beijing,1,2,T17,panda,A2,100,100,94.71,100,100,98.41
beijing,1,2,T17,panda,A3,100,82.8,96.34,100,83.51,88.49
beijing,1,2,T17,panda,A4,100,100,96.86,100,67.24,95.78
beijing,1,2,T17,panda,A5,100,100,100,100,95.5,99.55
beijing,1,2,T17,panda,A6,100,100,100,100,82.74,98.27
beijing,1,2,T17,panda,A7,100,100,93.63,100,100,98.09
beijing,1,2,T17,panda,B1,100,81.5,95.73,100,70.14,86.43
beijing,1,2,T17,panda,B2,100,100,95.25,100,87.22,97.30
beijing,1,2,T17,panda,B3,100,91.55,100,100,90.48,94.77
beijing,1,2,T17,panda,B4,100,52.3,98.14,100,82.33,70.64
beijing,1,2,T17,panda,C1,100,60.57,97.79,100,80.54,75.80
beijing,1,2,T17,panda,C2,100,95.97,100,100,97.62,97.73
beijing,1,2,T17,panda,C3,100,44.11,99.5,100,68.11,64.20
beijing,1,2,T17,panda,C4,100,93.32,99.25,100,99.59,96.35
beijing,2,3,T14,bps,A1,100,70.57,92.96,100,80.16,80.57
beijing,2,3,T14,bps,A2,100,100,84.91,100,100,95.47
beijing,2,3,T14,bps,A3,100,88.04,100,100,80.31,91.98
beijing,2,3,T14,bps,A4,100,100,96.92,100,66.61,95.74
beijing,2,3,T14,bps,A5,100,100,100,100,93.52,99.35
beijing,2,3,T14,bps,A6,100,100,100,100,83.54,98.35
beijing,2,3,T14,bps,A7,100,100,91.37,100,100,97.41
beijing,2,3,T14,bps,B1,100,81.4,94.38,100,65.63,85.60
beijing,2,3,T14,bps,B2,100,100,100,100,82.42,98.24
beijing,2,3,T14,bps,B3,100,93.36,96.98,100,91.18,94.90
beijing,2,3,T14,bps,B4,100,49.1,100,100,89.23,69.32
beijing,2,3,T14,bps,C1,100,61.4,97.77,100,80.57,76.31
beijing,2,3,T14,bps,C2,100,98.85,96.32,100,97.04,98.03
beijing,2,3,T14,bps,C3,100,41.63,98.75,100,67.13,62.16
beijing,2,3,T14,bps,C4,100,92.08,100,100,99.55,95.92
beijing,3,4,T16,autoailab,A1,100,69.9,100,100,81.39,82.05
beijing,3,4,T16,autoailab,A2,100,100,86.74,100,89.24,94.95
beijing,3,4,T16,autoailab,A3,100,71.02,97.1,100,82.86,82.10
beijing,3,4,T16,autoailab,A4,100,100,95.26,100,61.97,94.78
beijing,3,4,T16,autoailab,A5,100,94.82,100,100,90.49,96.45
beijing,3,4,T16,autoailab,A6,100,100,96.62,100,83.62,97.35
beijing,3,4,T16,autoailab,A7,100,100,91.88,100,99.16,97.48
beijing,3,4,T16,autoailab,B1,100,75.83,92.67,90,60.65,80.87
beijing,3,4,T16,autoailab,B2,100,100,91.17,100,84.89,95.84
beijing,3,4,T16,autoailab,B3,100,95.69,100,100,90.68,96.91
beijing,3,4,T16,autoailab,B4,100,51.46,97.76,100,86.73,70.30
