area,area_dir,area_rank,global_rank,team_dir,team_code,official_name,session_id,session_relative_path,dataset_session_path,required_logs_present,required_logs_present_current,missing_required_logs,missing_required_logs_current,optional_logs_present,present_logs,json_first_line_bad_logs,monitor_bytes,simulation_bytes,vehicle_perception_simulation_bytes,vehicle_perception_bytes,vehicle_trajectory_bytes
beijing,北京赛区,1,2,4-Panda,T17,panda,6931-1766206339,北京赛区/4-Panda/6931-1766206339,teams/beijing/01_T17_panda/sessions/6931-1766206339,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,479494,71133570,53077170,52898252,4286828
beijing,北京赛区,2,3,1-KUST-BPS,T14,bps,6922-1766197115,北京赛区/1-KUST-BPS/6922-1766197115,teams/beijing/02_T14_bps/sessions/6922-1766197115,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,493672,72746443,56724830,56533022,4483565
beijing,北京赛区,3,4,3-WUT-AutoAILab,T16,autoailab,6926-1766199712,北京赛区/3-WUT-AutoAILab/6926-1766199712,teams/beijing/03_T16_autoailab/sessions/6926-1766199712,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,520383,72671672,56684838,56481777,4717241
beijing,北京赛区,4,6,2-wulawula,T15,wulala,6924-1766198444,北京赛区/2-wulawula/6924-1766198444,teams/beijing/04_T15_wulala/sessions/6924-1766198444,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,521725,71946778,70006309,69810695,4704434
beijing,北京赛区,5,7,7-MM妙妙妙,T20,mm,6941-1766212682,北京赛区/7-MM妙妙妙/6941-1766212682,teams/beijing/05_T20_mm/sessions/6941-1766212682,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,511504,70048388,54892697,54698442,4643602
beijing,北京赛区,7,17,9-SCUT_VTB_917,T21,vtb917,6934-1766207726,北京赛区/9-SCUT_VTB_917/6934-1766207726,teams/beijing/07_T21_vtb917/sessions/6934-1766207726,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,1183185,85727543,72674702,68820371,7216708
beijing,北京赛区,8,20,6-223,T19,223,6937-1766209673,北京赛区/6-223/6937-1766209673,teams/beijing/08_T19_223/sessions/6937-1766209673,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,784192,90256392,68312646,67997375,7218586
shanghai,上海赛区,1,1,武汉理工大学_WUT_FSD,T11,wsd,6923-1766197775,上海赛区/武汉理工大学_WUT_FSD/6923-1766197775,teams/shanghai/01_T11_wsd/sessions/6923-1766197775,True,True,,,,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log,,324363,51634277,37014224,,3279587
shanghai,上海赛区,2,5,清华&贵州大学_thicv2025,T6,thicv2025,6921-1766196941,上海赛区/清华&贵州大学_thicv2025/6921-1766196941,teams/shanghai/02_T6_thicv2025/sessions/6921-1766196941,True,True,,,,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log,,404726,64364371,50814452,,3878812
shanghai,上海赛区,3,8,江苏大学_测试无极限,T5,limitless,6925-1766198568,上海赛区/江苏大学_测试无极限/6925-1766198568,teams/shanghai/03_T5_limitless/sessions/6925-1766198568,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,613697,86487098,71449037,71820895,5529491
shanghai,上海赛区,4,9,上海海事大学_SMU智驾出航,T7,SMU,6938-1766210823,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823,teams/shanghai/04_T7_SMU/sessions/6938-1766210823,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,588459,76228444,71852049,71620714,5277403
shanghai,上海赛区,5,10,上海交大_SJTU_ADVRC,T8,ADVRC,6932-1766206403,上海赛区/上海交大_SJTU_ADVRC/6932-1766206403,teams/shanghai/05_T8_ADVRC/sessions/6932-1766206403,True,True,,,,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log,,608785,79501781,59795497,,5317547
shanghai,上海赛区,6,11,深圳技术大学_超车92队,T9,takeover92,6928-1766201641,上海赛区/深圳技术大学_超车92队/6928-1766201641,teams/shanghai/06_T9_takeover92/sessions/6928-1766201641,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,622285,80168194,68638024,68415684,5654511
shanghai,上海赛区,7,12,重庆大学_CQUauto,T1,CQUauto,6940-1766211847,上海赛区/重庆大学_CQUauto/6940-1766211847,teams/shanghai/07_T1_CQUauto/sessions/6940-1766211847,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,652270,83686407,70668096,70408807,5903499
shanghai,上海赛区,8,13,东南大学_e2e,T3,e2e,6930-1766202635,上海赛区/东南大学_e2e/6930-1766202635,teams/shanghai/08_T3_e2e/sessions/6930-1766202635,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,547652,73101139,68548579,68336878,4881653
shanghai,上海赛区,9,14,华南理工_SCUT1216,T4,1216,6927-1766200590,上海赛区/华南理工_SCUT1216/6927-1766200590,teams/shanghai/09_T4_1216/sessions/6927-1766200590,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,602898,78527975,74379066,74143665,5322432
shanghai,上海赛区,9,14,华南理工_SCUT1216,T4,1216,6944-1766214451,上海赛区/华南理工_SCUT1216/6944-1766214451,teams/shanghai/09_T4_1216/sessions/6944-1766214451,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,607017,77259248,68055781,69738632,5396964
shanghai,上海赛区,10,16,东南大学_流浪东南号,T2,Liulang,6947-1766215908,上海赛区/东南大学_流浪东南号/6947-1766215908,teams/shanghai/10_T2_Liulang/sessions/6947-1766215908,True,True,,,,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log,,821645,100961556,108548630,,2224567
shanghai,上海赛区,11,18,同济大学_tiev-plus,T10,tievplus,6933-1766207438,上海赛区/同济大学_tiev-plus/6933-1766207438,teams/shanghai/11_T10_tievplus/sessions/6933-1766207438,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,467966,56607511,49434388,50485738,4167116
shanghai,上海赛区,11,18,同济大学_tiev-plus,T10,tievplus,6948-1766217297,上海赛区/同济大学_tiev-plus/6948-1766217297,teams/shanghai/11_T10_tievplus/sessions/6948-1766217297,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,1392728,79485052,64786180,77503774,7135339
shanghai,上海赛区,12,19,西华大学_西华明德贰队,T12,mingde,6935-1766208365,上海赛区/西华大学_西华明德贰队/6935-1766208365,teams/shanghai/12_T12_mingde/sessions/6935-1766208365,True,True,,,vehicle_perception_trajectory.log,monitor.log;simulation_trajectory.log;vehicle_perception_simulation_trajectory.log;vehicle_trajectory.log;vehicle_perception_trajectory.log,,721154,68267247,54884668,64749100,6708232
