area,area_rank,global_rank,team_code,official_name,score_rows,score_mean_comprehensive,matched_team_dirs,matched_session_ids,has_materialized_replay,team_dir,dataset_team_path,materialized_session_count,materialized_support_file_count,materialized_file_count,materialized_bytes,notes
beijing,1,2,T17,panda,15,89.4153,北京赛区/4-Panda,6931-1766206339,True,4-Panda,teams/beijing/01_T17_panda,1,3,8,188935608,
beijing,2,3,T14,bps,15,89.29,北京赛区/1-KUST-BPS,6922-1766197115,True,1-KUST-BPS,teams/beijing/02_T14_bps,1,3,8,195263748,
beijing,3,4,T16,autoailab,15,88.3827,北京赛区/3-WUT-AutoAILab,6926-1766199712,True,3-WUT-AutoAILab,teams/beijing/03_T16_autoailab,1,3,8,198563976,
beijing,4,6,T15,wulala,15,83.9773,北京赛区/2-wulawula,6924-1766198444,True,2-wulawula,teams/beijing/04_T15_wulala,1,3,8,221844628,
beijing,5,7,T20,mm,15,82.168,北京赛区/7-MM妙妙妙,6941-1766212682,True,7-MM妙妙妙,teams/beijing/05_T20_mm,1,6,11,192595860,
beijing,6,15,T18,bitsite,15,69.0047,北京赛区/5-BIT_Site,,False,5-BIT_Site,teams/beijing/06_T18_bitsite,0,4,4,10781769,no materialized replay session directory
beijing,7,17,T21,vtb917,15,61.334,北京赛区/9-SCUT_VTB_917,6934-1766207726,True,9-SCUT_VTB_917,teams/beijing/07_T21_vtb917,1,3,8,245734625,
beijing,8,20,T19,223,15,29.6013,北京赛区/6-223,6937-1766209673,True,6-223,teams/beijing/08_T19_223,1,3,8,241516425,
shanghai,1,1,T11,wsd,15,89.4387,上海赛区/武汉理工大学_WUT_FSD,6923-1766197775,True,武汉理工大学_WUT_FSD,teams/shanghai/01_T11_wsd,1,1,5,96485965,
shanghai,2,5,T6,thicv2025,15,85.6093,上海赛区/清华&贵州大学_thicv2025,6921-1766196941,True,清华&贵州大学_thicv2025,teams/shanghai/02_T6_thicv2025,1,1,5,123486219,
shanghai,3,8,T5,limitless,15,81.7913,上海赛区/江苏大学_测试无极限,6925-1766198568,True,江苏大学_测试无极限,teams/shanghai/03_T5_limitless,1,1,6,240067620,
shanghai,4,9,T7,SMU,15,80.3893,上海赛区/上海海事大学_SMU智驾出航,6938-1766210823,True,上海海事大学_SMU智驾出航,teams/shanghai/04_T7_SMU,1,1,6,230340816,
shanghai,5,10,T8,ADVRC,15,79.366,上海赛区/上海交大_SJTU_ADVRC,6932-1766206403,True,上海交大_SJTU_ADVRC,teams/shanghai/05_T8_ADVRC,1,1,5,149831160,
shanghai,6,11,T9,takeover92,15,78.9593,上海赛区/深圳技术大学_超车92队,6928-1766201641,True,深圳技术大学_超车92队,teams/shanghai/06_T9_takeover92,1,1,6,227984315,
shanghai,7,12,T1,CQUauto,15,75.5267,上海赛区/重庆大学_CQUauto,6940-1766211847,True,重庆大学_CQUauto,teams/shanghai/07_T1_CQUauto,1,1,6,235884591,duplicate session extractions: 6940-1766211847: 6940-1766211847|重庆大学_CQUauto-2025_6940-1766211847\6940-1766211847
shanghai,8,13,T3,e2e,15,75.4387,上海赛区/东南大学_e2e,6930-1766202635,True,东南大学_e2e,teams/shanghai/08_T3_e2e,1,1,6,220154703,
shanghai,9,14,T4,1216,15,70.8627,上海赛区/华南理工_SCUT1216,6927-1766200590;6944-1766214451,True,华南理工_SCUT1216,teams/shanghai/09_T4_1216,2,1,11,458691446,
shanghai,10,16,T2,Liulang,15,61.3853,上海赛区/东南大学_流浪东南号,6947-1766215908,True,东南大学_流浪东南号,teams/shanghai/10_T2_Liulang,1,1,5,217229529,
shanghai,11,18,T10,tievplus,15,57.4053,上海赛区/同济大学_tiev-plus,6933-1766207438;6948-1766217297,True,同济大学_tiev-plus,teams/shanghai/11_T10_tievplus,2,1,11,396184453,
shanghai,12,19,T12,mingde,15,49.8787,上海赛区/西华大学_西华明德贰队,6935-1766208365;6953-1766219816,True,西华大学_西华明德贰队,teams/shanghai/12_T12_mingde,2,1,11,457895873,
