area,area_rank,team_code,official_name,session_id,file_role,bytes,source_relative_path,subset_relative_path,storage_mode
beijing,1,T17,panda,,diagnosis_pdf,4315589,北京赛区/4-Panda/诊断报告.pdf,teams/beijing/01_T17_panda/support_materials/诊断报告.pdf,hardlink
beijing,1,T17,panda,,onsite_runtime_log,2744226,北京赛区/4-Panda/onsite_2025-12-20_12-29-52.log,teams/beijing/01_T17_panda/support_materials/onsite_2025-12-20_12-29-52.log,hardlink
beijing,1,T17,panda,,team_info_txt,479,北京赛区/4-Panda/队伍信息.txt,teams/beijing/01_T17_panda/support_materials/队伍信息.txt,hardlink
beijing,1,T17,panda,6931-1766206339,replay_log,479494,北京赛区/4-Panda/6931-1766206339/monitor.log,teams/beijing/01_T17_panda/sessions/6931-1766206339/monitor.log,hardlink
beijing,1,T17,panda,6931-1766206339,replay_log,71133570,北京赛区/4-Panda/6931-1766206339/simulation_trajectory.log,teams/beijing/01_T17_panda/sessions/6931-1766206339/simulation_trajectory.log,hardlink
beijing,1,T17,panda,6931-1766206339,replay_log,53077170,北京赛区/4-Panda/6931-1766206339/vehicle_perception_simulation_trajectory.log,teams/beijing/01_T17_panda/sessions/6931-1766206339/vehicle_perception_simulation_trajectory.log,hardlink
beijing,1,T17,panda,6931-1766206339,replay_log,52898252,北京赛区/4-Panda/6931-1766206339/vehicle_perception_trajectory.log,teams/beijing/01_T17_panda/sessions/6931-1766206339/vehicle_perception_trajectory.log,hardlink
beijing,1,T17,panda,6931-1766206339,replay_log,4286828,北京赛区/4-Panda/6931-1766206339/vehicle_trajectory.log,teams/beijing/01_T17_panda/sessions/6931-1766206339/vehicle_trajectory.log,hardlink
beijing,2,T14,bps,,diagnosis_pdf,4274217,北京赛区/1-KUST-BPS/诊断报告.pdf,teams/beijing/02_T14_bps/support_materials/诊断报告.pdf,hardlink
beijing,2,T14,bps,,onsite_runtime_log,7524,北京赛区/1-KUST-BPS/onsite_2025-12-20_10-35-40.log,teams/beijing/02_T14_bps/support_materials/onsite_2025-12-20_10-35-40.log,hardlink
beijing,2,T14,bps,,team_info_txt,475,北京赛区/1-KUST-BPS/队伍信息.txt,teams/beijing/02_T14_bps/support_materials/队伍信息.txt,hardlink
beijing,2,T14,bps,6922-1766197115,replay_log,493672,北京赛区/1-KUST-BPS/6922-1766197115/monitor.log,teams/beijing/02_T14_bps/sessions/6922-1766197115/monitor.log,hardlink
beijing,2,T14,bps,6922-1766197115,replay_log,72746443,北京赛区/1-KUST-BPS/6922-1766197115/simulation_trajectory.log,teams/beijing/02_T14_bps/sessions/6922-1766197115/simulation_trajectory.log,hardlink
beijing,2,T14,bps,6922-1766197115,replay_log,56724830,北京赛区/1-KUST-BPS/6922-1766197115/vehicle_perception_simulation_trajectory.log,teams/beijing/02_T14_bps/sessions/6922-1766197115/vehicle_perception_simulation_trajectory.log,hardlink
beijing,2,T14,bps,6922-1766197115,replay_log,56533022,北京赛区/1-KUST-BPS/6922-1766197115/vehicle_perception_trajectory.log,teams/beijing/02_T14_bps/sessions/6922-1766197115/vehicle_perception_trajectory.log,hardlink
beijing,2,T14,bps,6922-1766197115,replay_log,4483565,北京赛区/1-KUST-BPS/6922-1766197115/vehicle_trajectory.log,teams/beijing/02_T14_bps/sessions/6922-1766197115/vehicle_trajectory.log,hardlink
beijing,3,T16,autoailab,,diagnosis_pdf,4386346,北京赛区/3-WUT-AutoAILab/诊断报告.pdf,teams/beijing/03_T16_autoailab/support_materials/诊断报告.pdf,hardlink
beijing,3,T16,autoailab,,onsite_runtime_log,3101208,北京赛区/3-WUT-AutoAILab/onsite_2025-12-20_10-35-40.log,teams/beijing/03_T16_autoailab/support_materials/onsite_2025-12-20_10-35-40.log,hardlink
beijing,3,T16,autoailab,,team_info_txt,511,北京赛区/3-WUT-AutoAILab/队伍信息.txt,teams/beijing/03_T16_autoailab/support_materials/队伍信息.txt,hardlink
beijing,3,T16,autoailab,6926-1766199712,replay_log,520383,北京赛区/3-WUT-AutoAILab/6926-1766199712/monitor.log,teams/beijing/03_T16_autoailab/sessions/6926-1766199712/monitor.log,hardlink
beijing,3,T16,autoailab,6926-1766199712,replay_log,72671672,北京赛区/3-WUT-AutoAILab/6926-1766199712/simulation_trajectory.log,teams/beijing/03_T16_autoailab/sessions/6926-1766199712/simulation_trajectory.log,hardlink
beijing,3,T16,autoailab,6926-1766199712,replay_log,56684838,北京赛区/3-WUT-AutoAILab/6926-1766199712/vehicle_perception_simulation_trajectory.log,teams/beijing/03_T16_autoailab/sessions/6926-1766199712/vehicle_perception_simulation_trajectory.log,hardlink
beijing,3,T16,autoailab,6926-1766199712,replay_log,56481777,北京赛区/3-WUT-AutoAILab/6926-1766199712/vehicle_perception_trajectory.log,teams/beijing/03_T16_autoailab/sessions/6926-1766199712/vehicle_perception_trajectory.log,hardlink
beijing,3,T16,autoailab,6926-1766199712,replay_log,4717241,北京赛区/3-WUT-AutoAILab/6926-1766199712/vehicle_trajectory.log,teams/beijing/03_T16_autoailab/sessions/6926-1766199712/vehicle_trajectory.log,hardlink
beijing,4,T15,wulala,,appeal_or_evidence_png,135274,北京赛区/2-wulawula/12.png,teams/beijing/04_T15_wulala/support_materials/12.png,hardlink
beijing,4,T15,wulala,,diagnosis_pdf,4718944,北京赛区/2-wulawula/诊断报告.pdf,teams/beijing/04_T15_wulala/support_materials/诊断报告.pdf,hardlink
beijing,4,T15,wulala,,team_info_txt,469,北京赛区/2-wulawula/队伍信息.txt,teams/beijing/04_T15_wulala/support_materials/队伍信息.txt,hardlink
beijing,4,T15,wulala,6924-1766198444,replay_log,521725,北京赛区/2-wulawula/6924-1766198444/monitor.log,teams/beijing/04_T15_wulala/sessions/6924-1766198444/monitor.log,hardlink
beijing,4,T15,wulala,6924-1766198444,replay_log,71946778,北京赛区/2-wulawula/6924-1766198444/simulation_trajectory.log,teams/beijing/04_T15_wulala/sessions/6924-1766198444/simulation_trajectory.log,hardlink
beijing,4,T15,wulala,6924-1766198444,replay_log,70006309,北京赛区/2-wulawula/6924-1766198444/vehicle_perception_simulation_trajectory.log,teams/beijing/04_T15_wulala/sessions/6924-1766198444/vehicle_perception_simulation_trajectory.log,hardlink
beijing,4,T15,wulala,6924-1766198444,replay_log,69810695,北京赛区/2-wulawula/6924-1766198444/vehicle_perception_trajectory.log,teams/beijing/04_T15_wulala/sessions/6924-1766198444/vehicle_perception_trajectory.log,hardlink
beijing,4,T15,wulala,6924-1766198444,replay_log,4704434,北京赛区/2-wulawula/6924-1766198444/vehicle_trajectory.log,teams/beijing/04_T15_wulala/sessions/6924-1766198444/vehicle_trajectory.log,hardlink
beijing,5,T20,mm,,appeal_docx,183095,北京赛区/7-MM妙妙妙/申诉证据.docx,teams/beijing/05_T20_mm/support_materials/申诉证据.docx,hardlink
beijing,5,T20,mm,,appeal_or_evidence_png,131591,北京赛区/7-MM妙妙妙/12-1.png,teams/beijing/05_T20_mm/support_materials/12-1.png,hardlink
beijing,5,T20,mm,,appeal_or_evidence_png,40027,北京赛区/7-MM妙妙妙/12.png,teams/beijing/05_T20_mm/support_materials/12.png,hardlink
beijing,5,T20,mm,,diagnosis_pdf,4449290,北京赛区/7-MM妙妙妙/诊断报告.pdf,teams/beijing/05_T20_mm/support_materials/诊断报告.pdf,hardlink
