area,team_code,official_name,scenario,safety,efficiency,comfort,compliance,coordination,comprehensive,area_rank
beijing,T17,panda,A1,100,66.55,100,100,73.6,79.42,1
beijing,T17,panda,A2,100,100,94.71,100,100,98.41,1
beijing,T17,panda,A3,100,82.8,96.34,100,83.51,88.49,1
beijing,T17,panda,A4,100,100,96.86,100,67.24,95.78,1
beijing,T17,panda,A5,100,100,100,100,95.5,99.55,1
beijing,T17,panda,A6,100,100,100,100,82.74,98.27,1
beijing,T17,panda,A7,100,100,93.63,100,100,98.09,1
beijing,T17,panda,B1,100,81.5,95.73,100,70.14,86.43,1
beijing,T17,panda,B2,100,100,95.25,100,87.22,97.30,1
beijing,T17,panda,B3,100,91.55,100,100,90.48,94.77,1
beijing,T17,panda,B4,100,52.3,98.14,100,82.33,70.64,1
beijing,T17,panda,C1,100,60.57,97.79,100,80.54,75.80,1
beijing,T17,panda,C2,100,95.97,100,100,97.62,97.73,1
beijing,T17,panda,C3,100,44.11,99.5,100,68.11,64.20,1
beijing,T17,panda,C4,100,93.32,99.25,100,99.59,96.35,1
beijing,T14,bps,A1,100,70.57,92.96,100,80.16,80.57,2
beijing,T14,bps,A2,100,100,84.91,100,100,95.47,2
beijing,T14,bps,A3,100,88.04,100,100,80.31,91.98,2
beijing,T14,bps,A4,100,100,96.92,100,66.61,95.74,2
beijing,T14,bps,A5,100,100,100,100,93.52,99.35,2
beijing,T14,bps,A6,100,100,100,100,83.54,98.35,2
beijing,T14,bps,A7,100,100,91.37,100,100,97.41,2
beijing,T14,bps,B1,100,81.4,94.38,100,65.63,85.60,2
beijing,T14,bps,B2,100,100,100,100,82.42,98.24,2
beijing,T14,bps,B3,100,93.36,96.98,100,91.18,94.90,2
beijing,T14,bps,B4,100,49.1,100,100,89.23,69.32,2
beijing,T14,bps,C1,100,61.4,97.77,100,80.57,76.31,2
beijing,T14,bps,C2,100,98.85,96.32,100,97.04,98.03,2
beijing,T14,bps,C3,100,41.63,98.75,100,67.13,62.16,2
beijing,T14,bps,C4,100,92.08,100,100,99.55,95.92,2
beijing,T16,autoailab,A1,100,69.9,100,100,81.39,82.05,3
beijing,T16,autoailab,A2,100,100,86.74,100,89.24,94.95,3
beijing,T16,autoailab,A3,100,71.02,97.1,100,82.86,82.10,3
beijing,T16,autoailab,A4,100,100,95.26,100,61.97,94.78,3
beijing,T16,autoailab,A5,100,94.82,100,100,90.49,96.45,3
beijing,T16,autoailab,A6,100,100,96.62,100,83.62,97.35,3
beijing,T16,autoailab,A7,100,100,91.88,100,99.16,97.48,3
beijing,T16,autoailab,B1,100,75.83,92.67,90,60.65,80.87,3
beijing,T16,autoailab,B2,100,100,91.17,100,84.89,95.84,3
beijing,T16,autoailab,B3,100,95.69,100,100,90.68,96.91,3
beijing,T16,autoailab,B4,100,51.46,97.76,100,86.73,70.30,3
beijing,T16,autoailab,C1,100,61.07,98.36,100,79.94,76.20,3
beijing,T16,autoailab,C2,100,98.3,100,100,98.07,98.96,3
beijing,T16,autoailab,C3,100,44.56,95.32,100,70.64,63.86,3
beijing,T16,autoailab,C4,100,95.42,100,100,99.58,97.64,3
beijing,T15,wulala,A1,0,0,0,0,0,0.00,4
beijing,T15,wulala,A2,100,100,98.53,100,71.34,96.69,4
beijing,T15,wulala,A3,100,87.3,100,100,78.66,91.44,4
beijing,T15,wulala,A4,100,100,95.49,100,66.72,95.32,4
beijing,T15,wulala,A5,100,100,100,100,91.99,99.20,4
beijing,T15,wulala,A6,100,100,100,100,79.66,97.97,4
beijing,T15,wulala,A7,100,100,100,100,98.96,99.90,4
beijing,T15,wulala,B1,100,77.33,94.26,100,61.83,83.07,4
beijing,T15,wulala,B2,100,94.8,97.36,90,82.63,93.93,4
beijing,T15,wulala,B3,100,97.15,98.95,100,89.1,97.18,4
beijing,T15,wulala,B4,100,50.76,100,100,88.76,70.45,4
beijing,T15,wulala,C1,100,58.56,96.39,100,79.97,74.16,4
beijing,T15,wulala,C2,100,94.37,100,100,97.83,96.93,4
beijing,T15,wulala,C3,100,44.29,99.49,100,68.61,64.36,4
beijing,T15,wulala,C4,100,100,97.22,100,98.95,99.06,4
beijing,T20,mm,A1,0,0,0,0,0,0.00,5
beijing,T20,mm,A2,100,100,82.81,100,67.5,91.59,5
beijing,T20,mm,A3,100,85.9,98.09,100,82.03,90.49,5
beijing,T20,mm,A4,100,100,77.22,100,61.19,89.29,5
beijing,T20,mm,A5,100,100,97.94,100,91.89,98.57,5
beijing,T20,mm,A6,100,100,94.49,100,81.73,96.52,5
beijing,T20,mm,A7,100,100,75,100,97.26,92.23,5
beijing,T20,mm,B1,100,79.55,85.06,100,63.13,81.90,5
beijing,T20,mm,B2,100,91.47,93.8,90,85.46,91.51,5
beijing,T20,mm,B3,100,95.01,98.99,100,90.58,96.26,5
beijing,T20,mm,B4,100,50.46,95.05,100,88.16,69.14,5
beijing,T20,mm,C1,100,61.37,88.31,100,81.35,74.13,5
beijing,T20,mm,C2,100,98.71,98.77,100,97.85,98.77,5
beijing,T20,mm,C3,100,44.79,94.19,100,73.21,63.97,5
beijing,T20,mm,C4,100,100,97.42,90,99.22,98.15,5
shanghai,T11,wsd,A1,100,80.73,100,75,87.01,86.44,1
shanghai,T11,wsd,A2,100,100,80.6,100,89.87,93.17,1
shanghai,T11,wsd,A3,100,78.18,84.63,100,70.63,81.75,1
shanghai,T11,wsd,A4,100,100,100,100,81.79,98.18,1
shanghai,T11,wsd,A5,100,100,97.94,100,85.42,97.92,1
shanghai,T11,wsd,A6,100,83.47,100,100,81.72,89.69,1
shanghai,T11,wsd,A7,100,100,98.19,90,78.89,96.35,1
shanghai,T11,wsd,B1,100,91.24,90.7,100,69.32,89.92,1
shanghai,T11,wsd,B2,100,80.91,98.69,100,77.64,87.59,1
shanghai,T11,wsd,B3,100,100,79.11,100,81,91.83,1
shanghai,T11,wsd,B4,100,80.07,97.48,100,87.2,87.66,1
shanghai,T11,wsd,C1,100,92.91,88.13,100,83.51,91.37,1
shanghai,T11,wsd,C2,100,99.62,98.35,100,90.57,98.37,1
shanghai,T11,wsd,C3,100,53.05,100,75,72.77,69.03,1
shanghai,T11,wsd,C4,100,70.61,98.91,100,82.82,82.31,1
shanghai,T6,thicv2025,A1,100,100,100,75,93.25,96.83,2
shanghai,T6,thicv2025,A2,100,100,79.98,100,89.84,92.98,2
shanghai,T6,thicv2025,A3,100,100,56.52,75,59.32,80.39,2
shanghai,T6,thicv2025,A4,100,67.2,99.08,100,88.72,80.82,2
shanghai,T6,thicv2025,A5,100,100,96.41,100,86.76,97.60,2
shanghai,T6,thicv2025,A6,100,83.31,92.06,100,91,88.28,2
shanghai,T6,thicv2025,A7,100,100,86.62,90,87.82,93.77,2
shanghai,T6,thicv2025,B1,100,79.08,81,100,75.73,81.70,2
shanghai,T6,thicv2025,B2,100,70.23,96.1,100,85.84,81.64,2
shanghai,T6,thicv2025,B3,100,100,74.56,100,85.13,90.88,2
shanghai,T6,thicv2025,B4,100,85.67,83.87,50,93.42,82.84,2
shanghai,T6,thicv2025,C1,100,92.84,82.71,90,86.53,89.09,2
shanghai,T6,thicv2025,C2,100,98.97,97.54,100,96.17,98.37,2
shanghai,T6,thicv2025,C3,100,40.27,98.53,65,63.49,58.64,2
shanghai,T6,thicv2025,C4,100,51.24,98.38,100,87.02,70.31,2
shanghai,T5,limitless,A1,100,50.43,99.22,100,83.24,69.66,3
shanghai,T5,limitless,A2,100,98.24,86.36,100,92.69,94.34,3
shanghai,T5,limitless,A3,100,95.47,80.78,75,75.13,87.20,3
shanghai,T5,limitless,A4,100,65.72,98.24,100,90.32,79.86,3
shanghai,T5,limitless,A5,100,92.62,100,100,95.29,95.79,3
shanghai,T5,limitless,A6,100,85.07,100,100,94.06,91.69,3
shanghai,T5,limitless,A7,100,76.63,96.81,100,90.37,85.86,3
shanghai,T5,limitless,B1,100,61.66,86.74,90,77.19,72.82,3
shanghai,T5,limitless,B2,100,61.26,100,100,87.23,77.27,3
shanghai,T5,limitless,B3,100,73.52,88.76,100,91.88,82.16,3
shanghai,T5,limitless,B4,100,39.98,97.66,100,81.52,61.62,3
shanghai,T5,limitless,C1,100,87.88,83.5,100,86.68,87.86,3
shanghai,T5,limitless,C2,100,95.78,98.59,100,98.11,97.27,3
shanghai,T5,limitless,C3,100,40.19,92.94,100,64.94,59.83,3
shanghai,T5,limitless,C4,100,71.07,100,100,92.11,83.64,3
shanghai,T7,SMU,A1,100,47.04,100,100,77.11,67.02,4
shanghai,T7,SMU,A2,100,97.04,90.95,100,86.87,94.54,4
shanghai,T7,SMU,A3,100,55.79,94.94,100,72.3,71.49,4
shanghai,T7,SMU,A4,100,65.94,92.8,100,81.68,77.96,4
shanghai,T7,SMU,A5,100,96.77,100,100,87.05,97.10,4
shanghai,T7,SMU,A6,100,92.89,96.24,100,74.92,92.88,4
shanghai,T7,SMU,A7,100,70.13,99.09,90,81.43,81.12,4
shanghai,T7,SMU,B1,100,63.34,93.92,100,71.69,75.88,4
shanghai,T7,SMU,B2,100,58.06,100,100,82.33,74.85,4
shanghai,T7,SMU,B3,100,70.47,97.34,100,83.16,81.86,4
shanghai,T7,SMU,B4,100,70.02,100,75,87.6,80.55,4
shanghai,T7,SMU,C1,100,73.17,98.2,100,82.51,83.58,4
shanghai,T7,SMU,C2,100,91.88,98.23,75,93.26,92.30,4
shanghai,T7,SMU,C3,100,39.74,100,100,63.47,60.74,4
shanghai,T7,SMU,C4,100,57.2,100,100,78.04,73.97,4
shanghai,T8,ADVRC,A1,100,52.64,100,100,77.73,70.94,5
shanghai,T8,ADVRC,A2,100,98.25,68.12,100,84.36,88.09,5
shanghai,T8,ADVRC,A3,100,73.85,89.58,75,76.15,79.05,5
shanghai,T8,ADVRC,A4,100,63.81,96.64,100,76.87,77.23,5
shanghai,T8,ADVRC,A5,100,83.67,93.59,100,83.11,88.17,5
