geometry_path_category,priority_role,agent_type_pair,joint_cell,anchors,unique_cases,anchor_gate_ge_50,case_gate_ge_10,supported,failure_reason
MP,priority,HV;HV,MP|priority|HV;HV,840600,9997,True,True,True,
MP,priority,AV;HV,MP|priority|AV;HV,310231,3504,True,True,True,
MP,yield,HV;HV,MP|yield|HV;HV,840600,9997,True,True,True,
MP,yield,AV;HV,MP|yield|AV;HV,310231,3504,True,True,True,
MP,equal,HV;HV,MP|equal|HV;HV,19978,191,True,True,True,
MP,equal,AV;HV,MP|equal|AV;HV,6948,37,True,True,True,
CP,priority,HV;HV,CP|priority|HV;HV,42750,663,True,True,True,
CP,priority,AV;HV,CP|priority|AV;HV,18858,208,True,True,True,
CP,yield,HV;HV,CP|yield|HV;HV,42750,663,True,True,True,
CP,yield,AV;HV,CP|yield|AV;HV,18858,208,True,True,True,
CP,equal,HV;HV,CP|equal|HV;HV,1336,17,True,True,True,
CP,equal,AV;HV,CP|equal|AV;HV,582,3,True,False,False,cases_below_threshold
F,priority,HV;HV,F|priority|HV;HV,35601,392,True,True,True,
F,priority,AV;HV,F|priority|AV;HV,10022,81,True,True,True,
F,yield,HV;HV,F|yield|HV;HV,35601,392,True,True,True,
F,yield,AV;HV,F|yield|AV;HV,10022,81,True,True,True,
F,equal,HV;HV,F|equal|HV;HV,2234,20,True,True,True,
F,equal,AV;HV,F|equal|AV;HV,194,1,True,False,False,cases_below_threshold
HO,priority,HV;HV,HO|priority|HV;HV,3786,89,True,True,True,
HO,priority,AV;HV,HO|priority|AV;HV,44,1,False,False,False,anchors_and_cases_below_threshold
HO,yield,HV;HV,HO|yield|HV;HV,3786,89,True,True,True,
HO,yield,AV;HV,HO|yield|AV;HV,44,1,False,False,False,anchors_and_cases_below_threshold
HO,equal,HV;HV,HO|equal|HV;HV,3318,47,True,True,True,
HO,equal,AV;HV,HO|equal|AV;HV,0,0,False,False,False,not_observed
