label,file,sha256,width_pt,height_pt,page_count
fig:measured,figures/fig1_monitoring.pdf,f57197f9448cc41fb0bda320338222594124c2b58f2d32d162845a6db1b8f746,518.4000244140625,399.6000061035156,1
fig:context,figures/fig2_context.pdf,e173a826d13ebcc25538193073e4f1125de8d1e30fc95f4e3c30015154167485,518.7401733398438,453.5433044433594,1
fig:monitor,figures/fig3_monitor.pdf,0dc2add3e51887f9747fc37c32949b7e924801b3446f009aa6e0bb8c462d8489,518.4000244140625,385.20001220703125,1
fig:consequence,figures/fig4_consequence.pdf,0f7b8bf52155e7aa8e327cbcd469450bef1ac90578e03c39983b9e5ce2eb6cbf,510.2362060546875,433.7007751464844,1
fig:humanarm,figures/fig5_human_arm.pdf,1772bc9aa6d2a3b9b40ab2b7037beeda3536d013e00c7f6f59eb6417a018534e,510.2362060546875,462.0472412109375,1
fig:subjective,figures/fig6_subjective.pdf,4f73017937b7337aeb4b66f8bfc30a8f5754d2346bd4301e95cecbb2056c0142,518.7401733398438,325.9842529296875,1
fig:suppmeasurement,figures/fig1_measurable.pdf,10ed110837251df60d38a6ae3b3714065525be4e5c2ae411fb871bdd9e2c06df,510.2362060546875,297.6377868652344,1
fig:suppsubjectivesensitivity,figures/figS2_subjective_sensitivity.pdf,905791bfba3c13d602906735d4fc87a4219f3ff49480eb1d64d488e2f2d1fb17,518.7401733398438,269.2913513183594,1
fig:supphumanlevels,figures/figS3_human_levels.pdf,a5b3d5fa9e40e568d0598e96fcd50a8f661cb2fd72b11db31ae919a81aaab5c3,510.2362060546875,198.42520141601562,1
fig:suppcandidate,figures/figS4_estimator_details.pdf,3f5bc1a30fc4d403c34c33a8c65beec1539bdc4d8914278cbadced19c974f779,518.4000244140625,219.60000610351562,1
fig:edband,figures/figE2_reference_band.pdf,999f13fe541b22860f5281ceb9d136b6dbff349642965abb2f850efc4132c4d1,510.2362060546875,255.11810302734375,1
fig:edcase,figures/figE1_case_example.pdf,cccf1b574f7d88d2c7dc425a65b7854a8ada6099b0b44b56ad83072363d176a7,510.2362060546875,340.157470703125,1
fig:edtransfer,figures/figED3_source_transfer.pdf,6f2cee289e45be5885af8191770dd254ec6dd39c9e423d0b8eea9922d73fb715,518.4000244140625,237.60000610351562,1
fig:eddistribution,figures/figED5_reference_distribution.pdf,1c8e0cff4ed456c975309ec608372e71f1ba94e3cabac63558d01eb000097d12,518.4000244140625,208.8000030517578,1
