window,model,n_cases,n_clusters,auc,ci_low,ci_high
0.05,kinematics,24872,20977,0.5647671618193064,0.5580126899794865,0.5716477440932813
0.05,ipv,24872,20977,0.749707633749519,0.7428189227864288,0.7556614715789043
0.05,both,24872,20977,0.7535075246177443,0.747302744668515,0.760067362793235
0.1,kinematics,26221,21909,0.5617163152000543,0.5542899847135355,0.5684446516136685
0.1,ipv,26221,21909,0.7607071124113629,0.7553841731635087,0.7667627839143406
0.1,both,26221,21909,0.7642494547532855,0.7585342692267923,0.7697841811867226
0.2,kinematics,28205,23416,0.564256238606029,0.5574501512365789,0.5707528134711916
0.2,ipv,28205,23416,0.7773121078355771,0.7715403833748715,0.7822598581220549
0.2,both,28205,23416,0.7806614771719236,0.7747845447338025,0.7860154828229124
0.3,kinematics,29677,24645,0.5663313112607254,0.5603124959277331,0.5719759220060848
0.3,ipv,29677,24645,0.7858703012567808,0.7799058160375034,0.7905923298975136
0.3,both,29677,24645,0.7895847741960828,0.7846430476916875,0.7946344718763519
0.4,kinematics,30932,25689,0.5659251962132207,0.5586795731622101,0.5720305452601679
0.4,ipv,30932,25689,0.7978097899124156,0.7925282916002547,0.8019412370029205
0.4,both,30932,25689,0.8008916873980236,0.796370673371387,0.8053996969257757
0.5,kinematics,31831,26433,0.5717296590765084,0.5654307253383488,0.5779392950620652
0.5,ipv,31831,26433,0.812775285015092,0.8078005530717955,0.8173220053386382
0.5,both,31831,26433,0.8157200511403893,0.8108466857375235,0.8208410171845723
