arm,coverage,side,numerator,denominator,percent,ci_low,ci_high,ci_method,ci_n_boot,n_drivers,n_runs,n_scenarios
Human,80,A,879,15598,5.635337863828696,,,,,20,300,15
Human,80,C,676,15598,4.333888960123093,,,,,20,300,15
Human,80,outside,1555,15598,9.96922682395179,,,,,20,300,15
Human,90,A,435,15598,2.78881907936915,,,,,20,300,15
Human,90,C,351,15598,2.250288498525452,,,,,20,300,15
Human,90,outside,786,15598,5.039107577894602,3.4000000000000004,5.5,driver-by-scenario bootstrap,1000,20,300,15
Human,95,A,189,15598,1.2116938068983203,,,,,20,300,15
Human,95,C,167,15598,1.0706500833440185,,,,,20,300,15
Human,95,outside,356,15598,2.282343890242339,,,,,20,300,15
AV,80,A,1174,14099,8.326831690190794,,,,,,,15
AV,80,C,1574,14099,11.1639123342081,,,,,,,15
AV,80,outside,2748,14099,19.490744024398893,,,,,,,15
AV,90,A,519,14099,3.6811121356124548,,,,,,,15
AV,90,C,869,14099,6.1635576991275975,,,,,,,15
AV,90,outside,1388,14099,9.844669834740053,,,,,,,15
AV,95,A,314,14099,2.2271083055535854,,,,,,,15
AV,95,C,387,14099,2.7448755230867437,,,,,,,15
AV,95,outside,701,14099,4.9719838286403295,,,,,,,15
