scenario,human_n,human_flagged,human_rate,av_n,av_flagged,av_rate
A1,1157,25,0.021608,1093,45,0.04117108874656908
A2,964,55,0.057054,851,74,0.08695652173913043
A3,783,13,0.016603,729,20,0.027434842249657063
A4,1026,45,0.04386,965,99,0.10259067357512953
A5,1579,96,0.060798,1529,215,0.1406147809025507
A6,334,18,0.053892,254,23,0.09055118110236221
A7,758,23,0.030343,611,33,0.054009819967266774
B1,86,6,0.069767,98,17,0.17346938775510204
B2,1436,178,0.123955,1437,223,0.15518441196938065
B3,1547,56,0.036199,1803,180,0.09983361064891846
B4,954,81,0.084906,961,131,0.13631633714880334
C1,1135,34,0.029956,968,50,0.05165289256198347
C2,1351,45,0.033309,934,91,0.0974304068522484
C3,1390,78,0.056115,1392,127,0.09123563218390805
C4,1098,33,0.030055,474,60,0.12658227848101267
