scenario_id,seat,metric,contrast,difference
A1,ego,q1_rev,A-W,0.4464285714
A2,ego,q1_rev,A-W,1.571428571
A5,ego,q1_rev,A-W,2.178571429
A6,ego,q1_rev,A-W,0.4464285714
A7,ego,q1_rev,A-W,-0.5714285714
B3,ego,q1_rev,A-W,-0.2142857143
B4,ego,q1_rev,A-W,0.8571428571
C1,ego,q1_rev,A-W,0.6071428571
A1,ego,q1_rev,C-W,0.8035714286
A2,ego,q1_rev,C-W,0.3571428571
A5,ego,q1_rev,C-W,1.642857143
A6,ego,q1_rev,C-W,0.4702380952
A7,ego,q1_rev,C-W,1.136904762
B3,ego,q1_rev,C-W,0.5
B4,ego,q1_rev,C-W,1.25
C1,ego,q1_rev,C-W,0.7857142857
C4,ego,q1_rev,C-W,1.404761905
A1,ego,q1_rev,A-C,-0.3571428571
A2,ego,q1_rev,A-C,1.214285714
A3,ego,q1_rev,A-C,-0.630952381
A4,ego,q1_rev,A-C,0.0119047619
A5,ego,q1_rev,A-C,0.5357142857
A6,ego,q1_rev,A-C,-0.02380952381
A7,ego,q1_rev,A-C,-1.708333333
B1,ego,q1_rev,A-C,-0.4083333333
B2,ego,q1_rev,A-C,-0.5
B3,ego,q1_rev,A-C,-0.7142857143
B4,ego,q1_rev,A-C,-0.3928571429
C1,ego,q1_rev,A-C,-0.1785714286
A1,ego,q2_yield_bipolar,A-W,1.071428571
A2,ego,q2_yield_bipolar,A-W,0.119047619
A5,ego,q2_yield_bipolar,A-W,-0.875
A6,ego,q2_yield_bipolar,A-W,-0.8333333333
A7,ego,q2_yield_bipolar,A-W,1.214285714
B3,ego,q2_yield_bipolar,A-W,0.630952381
B4,ego,q2_yield_bipolar,A-W,0.4047619048
C1,ego,q2_yield_bipolar,A-W,-0.4047619048
A1,ego,q2_yield_bipolar,C-W,0.4285714286
A2,ego,q2_yield_bipolar,C-W,2.261904762
A5,ego,q2_yield_bipolar,C-W,0.6726190476
A6,ego,q2_yield_bipolar,C-W,0.3273809524
A7,ego,q2_yield_bipolar,C-W,-0.1428571429
B3,ego,q2_yield_bipolar,C-W,0.7142857143
B4,ego,q2_yield_bipolar,C-W,0.4642857143
C1,ego,q2_yield_bipolar,C-W,1
C4,ego,q2_yield_bipolar,C-W,-0.5
A1,ego,q2_yield_bipolar,A-C,0.6428571429
A2,ego,q2_yield_bipolar,A-C,-2.142857143
A3,ego,q2_yield_bipolar,A-C,-0.9880952381
A4,ego,q2_yield_bipolar,A-C,-0.8333333333
A5,ego,q2_yield_bipolar,A-C,-1.547619048
A6,ego,q2_yield_bipolar,A-C,-1.160714286
A7,ego,q2_yield_bipolar,A-C,1.357142857
B1,ego,q2_yield_bipolar,A-C,-0.8428571429
B2,ego,q2_yield_bipolar,A-C,-1.226190476
B3,ego,q2_yield_bipolar,A-C,-0.08333333333
B4,ego,q2_yield_bipolar,A-C,-0.05952380952
C1,ego,q2_yield_bipolar,A-C,-1.404761905
A1,ego,q3,A-W,-0.8154761905
A2,ego,q3,A-W,-0.630952381
A5,ego,q3,A-W,-0.625
A6,ego,q3,A-W,-0.5773809524
A7,ego,q3,A-W,-0.7023809524
B3,ego,q3,A-W,-0.8095238095
B4,ego,q3,A-W,-0.6785714286
C1,ego,q3,A-W,-0.3095238095
A1,ego,q3,C-W,-0.9583333333
A2,ego,q3,C-W,-0.4166666667
A5,ego,q3,C-W,-0.6964285714
A6,ego,q3,C-W,-0.2857142857
A7,ego,q3,C-W,-0.3452380952
B3,ego,q3,C-W,-0.4642857143
B4,ego,q3,C-W,-0.3928571429
C1,ego,q3,C-W,-0.5
C4,ego,q3,C-W,-0.375
A1,ego,q3,A-C,0.1428571429
A2,ego,q3,A-C,-0.2142857143
A3,ego,q3,A-C,0.02380952381
A4,ego,q3,A-C,-0.3333333333
A5,ego,q3,A-C,0.07142857143
A6,ego,q3,A-C,-0.2916666667
A7,ego,q3,A-C,-0.3571428571
B1,ego,q3,A-C,0.07142857143
B2,ego,q3,A-C,-0.8095238095
B3,ego,q3,A-C,-0.3452380952
B4,ego,q3,A-C,-0.2857142857
C1,ego,q3,A-C,0.1904761905
A1,ego,q4,A-W,-0.3928571429
A2,ego,q4,A-W,-0.6666666667
A5,ego,q4,A-W,-0.7797619048
A6,ego,q4,A-W,-0.4702380952
A7,ego,q4,A-W,-0.4285714286
B3,ego,q4,A-W,-0.6547619048
B4,ego,q4,A-W,-0.880952381
C1,ego,q4,A-W,-0.9285714286
A1,ego,q4,C-W,-0.4642857143
A2,ego,q4,C-W,-0.2380952381
A5,ego,q4,C-W,-0.375
A6,ego,q4,C-W,-0.3095238095
A7,ego,q4,C-W,-0.1428571429
B3,ego,q4,C-W,-0.3214285714
B4,ego,q4,C-W,-0.3214285714
C1,ego,q4,C-W,-0.5
C4,ego,q4,C-W,-0.494047619
A1,ego,q4,A-C,0.07142857143
A2,ego,q4,A-C,-0.4285714286
A3,ego,q4,A-C,-0.380952381
A4,ego,q4,A-C,-0.2857142857
A5,ego,q4,A-C,-0.4047619048
