arm,seat,metric,contrast,estimate,ci_low,ci_high,n_subjects,n_pairs
av,ego,q1_rev,A-W,0.3333333333,0.008333333333,0.6708333333,40,20
av,ego,q1_rev,C-W,0.8416666667,0.5123958333,1.158333333,40,20
av,ego,q1_rev,A-C,-0.5083333333,-0.7875,-0.2416666667,40,20
av,ego,q2_yield_bipolar,A-W,-0.1291666667,-0.6041666667,0.375,40,20
av,ego,q2_yield_bipolar,C-W,0.8875,0.5333333333,1.233333333,40,20
av,ego,q2_yield_bipolar,A-C,-1.016666667,-1.362604167,-0.6666666667,40,20
av,ego,q3,A-W,-0.7166666667,-0.9708333333,-0.4583333333,40,20
av,ego,q3,C-W,-0.6541666667,-0.85,-0.45,40,20
av,ego,q3,A-C,-0.0625,-0.2875,0.1666666667,40,20
av,ego,q4,A-W,-0.65,-0.8958333333,-0.4375,40,20
av,ego,q4,C-W,-0.3541666667,-0.5458333333,-0.1958333333,40,20
av,ego,q4,A-C,-0.2958333333,-0.4375,-0.1375,40,20
av,cp,q1_rev,A-W,0.5708333333,0.1291666667,1.045833333,40,20
av,cp,q1_rev,C-W,0.5333333333,0.2541666667,0.825,40,20
av,cp,q1_rev,A-C,0.0375,-0.2416666667,0.3125,40,20
av,cp,q2_yield_bipolar,A-W,-0.4041666667,-0.8166666667,0.025,40,20
av,cp,q2_yield_bipolar,C-W,0.5083333333,0.25,0.8208333333,40,20
av,cp,q2_yield_bipolar,A-C,-0.9125,-1.2625,-0.5582291667,40,20
av,cp,q3,A-W,-0.8666666667,-1.070833333,-0.675,40,20
av,cp,q3,C-W,-0.5875,-0.8251041667,-0.3625,40,20
av,cp,q3,A-C,-0.2791666667,-0.5416666667,0.004166666667,40,20
av,cp,q4,A-W,-1.016666667,-1.229166667,-0.825,40,20
av,cp,q4,C-W,-0.2416666667,-0.4083333333,-0.0875,40,20
av,cp,q4,A-C,-0.775,-0.9625,-0.5875,40,20
av,cp,q5_cost_cp,A-W,2.045833333,1.8,2.295833333,40,20
av,cp,q5_cost_cp,C-W,0.8583333333,0.6708333333,1.054166667,40,20
av,cp,q5_cost_cp,A-C,1.1875,0.9375,1.404270833,40,20
av,cp,q5b,A-W,0.08333333333,-0.08333333333,0.2375,40,20
av,cp,q5b,C-W,0.2041666667,0.05833333333,0.3458333333,40,20
av,cp,q5b,A-C,-0.1208333333,-0.3041666667,0.07083333333,40,20
human,ego,q1_rev,A-W,0.5333333333,0.1541666667,0.8875,40,20
human,ego,q1_rev,C-W,0.6,0.3833333333,0.8125,40,20
human,ego,q1_rev,A-C,-0.06666666667,-0.5375,0.4,40,20
human,ego,q2_yield_bipolar,A-W,0.2083333333,-0.1708333333,0.5916666667,40,20
human,ego,q2_yield_bipolar,C-W,0.3166666667,0.05833333333,0.5708333333,40,20
human,ego,q2_yield_bipolar,A-C,-0.1083333333,-0.3708333333,0.1416666667,40,20
human,ego,q3,A-W,-0.6291666667,-0.8625,-0.4125,40,20
human,ego,q3,C-W,-0.3458333333,-0.5458333333,-0.1458333333,40,20
human,ego,q3,A-C,-0.2833333333,-0.5041666667,-0.06666666667,40,20
human,ego,q4,A-W,-0.6916666667,-0.8666666667,-0.5166666667,40,20
human,ego,q4,C-W,-0.375,-0.5583333333,-0.1875,40,20
human,ego,q4,A-C,-0.3166666667,-0.5166666667,-0.1291666667,40,20
human,cp,q1_rev,A-W,0.6833333333,0.3208333333,1.0625,40,20
human,cp,q1_rev,C-W,0.7833333333,0.6333333333,0.925,40,20
human,cp,q1_rev,A-C,-0.1,-0.4833333333,0.2833333333,40,20
human,cp,q2_yield_bipolar,A-W,0.02916666667,-0.3,0.3958333333,40,20
human,cp,q2_yield_bipolar,C-W,0.4583333333,0.1875,0.7626041667,40,20
human,cp,q2_yield_bipolar,A-C,-0.4291666667,-0.6958333333,-0.1625,40,20
human,cp,q3,A-W,-0.7666666667,-0.9958333333,-0.5458333333,40,20
human,cp,q3,C-W,-0.4583333333,-0.6875,-0.2208333333,40,20
human,cp,q3,A-C,-0.3083333333,-0.4875,-0.1333333333,40,20
human,cp,q4,A-W,-1.154166667,-1.2875,-1.020833333,40,20
human,cp,q4,C-W,-0.1916666667,-0.3583333333,-0.0125,40,20
human,cp,q4,A-C,-0.9625,-1.1125,-0.8125,40,20
human,cp,q5_cost_cp,A-W,2.108333333,1.9,2.329166667,40,20
human,cp,q5_cost_cp,C-W,0.975,0.8041666667,1.145833333,40,20
human,cp,q5_cost_cp,A-C,1.133333333,0.9458333333,1.329166667,40,20
human,cp,q5b,A-W,-0.01666666667,-0.1666666667,0.125,40,20
human,cp,q5b,C-W,-0.025,-0.1875,0.1333333333,40,20
human,cp,q5b,A-C,0.008333333333,-0.1375,0.1583333333,40,20
