artifact,attempt_status,rows,q_eff_n,q_eff_min,q_eff_p25,q_eff_median,q_eff_p75,q_eff_p90,q_eff_p95,q_eff_p99,q_eff_max,near_uniform_share
onsite_dense_timeseries,ATTEMPTED,2974,2974,0.14285714285714285,0.3596365599023714,0.5860437394608851,0.9981528520192693,1.0,1.0,1.0,1.0,0.3271687962340282
onsite_dense_timeseries,NOT_ATTEMPTED,4272,0,,,,,,,,,
onsite_dense_timeseries,UNKNOWN,274022,0,,,,,,,,,
wod_rq010b_full479_audited,ATTEMPTED,906,906,0.14285714285714285,0.162553545427705,0.3719125601658746,0.9980742504399449,1.0,1.0,1.0,1.0,0.26600441501103755
wod_rq010b_full479_audited,NOT_ATTEMPTED,0,0,,,,,,,,,
wod_rq010b_full479_audited,UNKNOWN,0,0,,,,,,,,,
interhub_sigma01_hw4_timeseries,ATTEMPTED,4981984,4981984,0.14285714285714285,0.5891036194130097,0.9657006854997038,0.9998094238563493,0.9999961121402651,0.9999999803360982,1.0,1.0,0.5348933276381458
interhub_sigma01_hw4_timeseries,NOT_ATTEMPTED,215088,0,,,,,,,,,
interhub_sigma01_hw4_timeseries,UNKNOWN,0,0,,,,,,,,,
rq009_feature_matrix,ATTEMPTED,8994736,8994736,0.14285714285714285,0.4319619828712655,0.8650587838169106,0.9995716380581047,0.9999998006346824,1.0,1.0,1.0,0.4609542736996394
rq009_feature_matrix,NOT_ATTEMPTED,0,0,,,,,,,,,
rq009_feature_matrix,UNKNOWN,0,0,,,,,,,,,
