subset_policy,artifact_id,case_or_episode_key,case_id,aggregation_configuration,aggregation_perspective,measurement_role,source_dataset,horizon_config,actor_view,total_rows,attempted_rows,attempted_share,q_n,q_mean,q_median,share_q_le_075,near_uniform_093,usable_loose,usable_primary,usable_strict
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000152,ipv_000152,sigma01_hw4,agent_2,agent_2,interhub_sigma01,hw4,agent_2,200,196,0.98,196.0,0.6478603744743011,0.6663565526922812,0.6071428571428571,0.12244897959183673,True,True,False
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000289,ipv_000289,sigma01_hw4,agent_2,agent_2,interhub_sigma01,hw4,agent_2,200,196,0.98,196.0,0.6478872261263748,0.665634980852329,0.6224489795918368,0.1377551020408163,True,True,False
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000420,ipv_000420,sigma01_hw4,agent_1,agent_1,interhub_sigma01,hw4,agent_1,151,147,0.9735099337748344,147.0,0.6257114819948394,0.6729794295775914,0.6054421768707483,0.05442176870748299,True,True,False
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000503,ipv_000503,sigma01_hw4,agent_1,agent_1,interhub_sigma01,hw4,agent_1,152,148,0.9736842105263158,148.0,0.6113333197235273,0.6081512041386807,0.6554054054054054,0.10135135135135136,True,True,False
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000503,ipv_000503,sigma01_hw4,agent_2,agent_2,interhub_sigma01,hw4,agent_2,152,148,0.9736842105263158,148.0,0.6581453028622566,0.6856181146738091,0.6351351351351351,0.0945945945945946,True,True,False
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000521,ipv_000521,sigma01_hw4,agent_1,agent_1,interhub_sigma01,hw4,agent_1,130,126,0.9692307692307692,126.0,0.688188835825907,0.7083715968692932,0.6031746031746031,0.15873015873015872,True,True,False
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000537,ipv_000537,sigma01_hw4,agent_1,agent_1,interhub_sigma01,hw4,agent_1,200,196,0.98,196.0,0.6587480799339834,0.6743622326341059,0.6224489795918368,0.23979591836734693,True,True,False
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000668,ipv_000668,sigma01_hw4,agent_2,agent_2,interhub_sigma01,hw4,agent_2,200,196,0.98,196.0,0.6469055901707688,0.688358251937361,0.6122448979591837,0.05612244897959184,True,True,False
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000745,ipv_000745,sigma01_hw4,agent_2,agent_2,interhub_sigma01,hw4,agent_2,72,68,0.9444444444444444,68.0,0.611122036097932,0.6200579759860327,0.7352941176470589,0.07352941176470588,True,True,False
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000827,ipv_000827,sigma01_hw4,agent_2,agent_2,interhub_sigma01,hw4,agent_2,68,64,0.9411764705882353,64.0,0.6197128023125396,0.617476909425885,0.671875,0.015625,True,True,False
primary: q_n>=30; attempted_share>=0.80; median_q_eff<=0.75; share(q_eff<=0.75)>=0.60,interhub_sigma01_hw4_timeseries,ipv_000869,ipv_000869,sigma01_hw4,agent_1,agent_1,interhub_sigma01,hw4,agent_1,86,82,0.9534883720930233,82.0,0.6773736843689251,0.6520089176222954,0.6341463414634146,0.2926829268292683,True,True,False
