scenario_id,runs,frames,max_step_m,max_accel_mps2,max_jerk_mps3,max_yaw_rate_deg_s,runs_jerk_gt20,runs_yaw_gt30,runs_step_gt5,frame_gap_runs,dt_max_s,speed_recon_max_abs_kmh
A1,20,4900,0.794702,2.023855,9.974342,6.396524,0,0,0,0,0.119,2.980167
A2,20,2740,1.041855,2.646999,15.213527,16.085638,0,0,0,0,0.117,5.385572
A3,20,8380,1.005505,3.841225,21.251510,34.287783,14,20,0,0,0.120,5.049186
A4,20,6080,0.859404,2.599344,31.268006,23.458016,20,0,0,0,0.119,5.836799
A5,20,11200,0.832149,3.672947,16.652537,14.870926,0,0,0,0,0.121,4.846766
A6,20,2620,0.744581,3.849412,21.919876,25.029108,19,0,0,0,0.116,2.880499
A7,20,4920,0.895665,2.516878,10.920222,13.001736,0,0,0,0,0.121,5.377311
B1,20,2200,1.053354,0.709926,2.854728,7.753040,0,0,0,0,0.120,4.842680
B2,20,4200,1.035376,3.819354,12.269369,7.248739,0,0,0,0,0.121,5.624691
B3,20,3640,0.654200,3.934059,18.464640,4.798749,0,0,0,0,0.118,4.446157
B4,20,5860,0.955625,2.322457,7.379017,20.625180,0,0,0,0,0.112,4.485587
C1,20,6260,1.035169,3.423160,15.925367,29.035997,0,0,0,0,0.113,5.145257
C2,20,5060,0.861033,3.531852,17.612087,21.950225,0,0,0,0,0.122,4.231323
C3,20,7460,0.593931,3.365963,17.743796,22.742902,0,0,0,0,0.125,2.814492
C4,20,6360,0.800750,3.054213,21.149049,4.448037,11,0,0,0,0.110,4.070266
