run_id,driver_id,scenario_id,n_frames,first_timestamp_ms,last_timestamp_ms,frame_gap_count,timestamp_nonpositive_count,dt_min_s,dt_max_s,dt_median_s,dt_p95_s,step_max_m,step_p95_m,step_zero_count,step_gt_5m_count,step_gt_10m_count,speed_recon_mae_kmh,speed_recon_p95_abs_kmh,speed_recon_max_abs_kmh,accel_max_abs_mps2,accel_p95_abs_mps2,jerk_max_abs_mps3,jerk_p95_abs_mps3,yaw_rate_max_abs_deg_s,yaw_rate_p95_abs_deg_s,cross_track_max_m,arc_length_m,arc_backtrack_count,duplicate_position_sequence,duplicate_speed_sequence,stationary_frame_count,moving_frame_count,combined_rank_score
human_synthetic:D01:A1,D01,A1,245,1766197789852,1766197815289,0,0,0.101,0.119,0.104,0.109,0.7528352211733342,0.5916760872506316,34,0,0,0.622879976260591,2.029622178913478,2.8732964968792594,2.0220055174752143,1.6127583120001414,9.795660125006027,3.9102622218689693,6.0500417845736525,2.495773903513106,0.0,64.91751810769998,0,False,False,56,189,1230.0
human_synthetic:D01:A2,D01,A2,137,1766197815395,1766197830015,0,0,0.101,0.117,0.108,0.113,1.0365545866251282,1.0193996699062546,0,0,0,1.875381505383614,3.41379276841816,5.203722078839416,2.5103156515049125,1.6393321947602346,14.68291328856933,3.8834095500860455,14.472242750893006,11.5693721529901,0.0,96.82273765948108,0,False,False,0,137,612.0
human_synthetic:D01:A3,D01,A3,419,1766197830125,1766197875939,0,0,0.101,0.12,0.109,0.116,0.995440941085772,0.6717107519513514,0,0,0,1.2355975323436041,2.205104465815086,4.988643568441901,3.5809452834030675,2.1551805434072775,20.863923608976485,4.1872017614754435,32.573045363231806,24.556007984513162,0.0,197.1677875846439,0,False,False,0,419,259.0
human_synthetic:D01:A4,D01,A4,304,1766197876047,1766197908289,0,0,0.101,0.119,0.106,0.112,0.8490351292024743,0.7090499342708233,0,0,0,1.1284244457928285,2.879799400433792,5.752158434437089,2.3967064883968847,1.7805570095300822,29.280047530910775,4.02815974275275,21.69993651892916,19.339674327112057,0.0,134.6623008117629,0,False,False,1,303,471.0
human_synthetic:D01:A5,D01,A5,560,1766197908395,1766197970058,0,0,0.101,0.121,0.11,0.117,0.8296134326426206,0.5881745146781432,186,0,0,0.4643141760478757,1.8021564413638342,4.109704693952693,3.596880761616139,1.3246417740720788,16.29074871321944,3.122314971336899,14.870926308760751,2.598963076213636,0.0,97.31081348123816,0,False,False,322,238,711.0
human_synthetic:D01:A6,D01,A6,131,1766197970168,1766197984179,0,0,0.102,0.116,0.108,0.113,0.7148158124830398,0.6075659657014688,0,0,0,0.9284301778574836,2.1423101037644194,2.867633529378651,3.5748653089083082,2.6908740552232286,20.352839920537956,5.2341173600512185,25.02910826468331,19.542360394659198,0.0,47.4373876619294,0,False,False,0,131,667.0
human_synthetic:D01:A7,D01,A7,246,1766197984288,1766198010440,0,0,0.102,0.121,0.105,0.117,0.8881212481153521,0.7364295312066371,0,0,0,0.7871194859043212,2.713512374502932,5.324953931613049,2.4186793174831682,1.7229784488768978,9.78660299474486,3.815485857625893,12.657786004800052,10.347840074218553,0.0,94.46103823326072,0,False,False,0,246,802.0
human_synthetic:D01:B1,D01,B1,110,1766198010544,1766198022133,0,0,0.102,0.12,0.106,0.11059999999999999,1.0009730146482052,0.9945788994235787,0,0,0,2.182979319256438,4.051804461331126,4.554698574993537,0.5834888379362855,0.4704444319203396,2.8123899370282195,1.9146832501818467,7.387101803376121,6.302134645532385,0.0,90.71346154453863,0,False,False,0,110,978.0
human_synthetic:D01:B2,D01,B2,210,1766198022238,1766198044554,0,0,0.102,0.121,0.106,0.113,1.0239425063595111,0.93183126764478,0,0,0,1.529512797095764,3.5105561724675316,5.624691082082027,3.5647301442400487,2.1778606824793636,11.1448474691167,4.718766296672263,7.084941399549615,4.940640771273016,0.0,129.98578630028564,0,False,False,0,210,557.0
human_synthetic:D01:B3,D01,B3,182,1766198044667,1766198064230,0,0,0.102,0.118,0.107,0.115,0.595427258233207,0.5849206186212674,0,0,0,1.028644917270465,2.358005090902491,4.363284513248569,3.832359485527056,1.6585576465421066,17.97380445196026,4.269680825172862,4.3993877528429115,3.4589513667478906,0.0,73.16694171701269,0,False,False,0,182,805.0
human_synthetic:D01:B4,D01,B4,293,1766198064337,1766198094900,0,0,0.102,0.112,0.105,0.107,0.9468069696077959,0.7751941905159855,0,0,0,1.0242727191593075,2.4623856452553876,4.452457563931276,2.1246692502565336,0.7244641950032996,6.772791036563506,1.998796111725775,19.544309918877023,15.839613997767314,0.0,126.4448589414828,0,False,False,0,293,910.0
human_synthetic:D01:C1,D01,C1,313,1766198095004,1766198128058,0,0,0.102,0.113,0.106,0.109,1.029596623375514,0.9170589891705527,0,0,0,1.6977389663295872,3.5796265621343615,5.117609523847772,3.3552700156615898,1.6292537574573942,15.624446236077436,4.353392621925998,28.57658633363645,21.521680497767488,0.0,213.69039330190236,0,False,False,0,313,378.0
human_synthetic:D01:C2,D01,C2,253,1766198128174,1766198155134,0,0,0.102,0.122,0.107,0.113,0.8258051468519819,0.7220305292824619,0,0,0,0.9651794938343231,2.8525332979534332,4.148255764709258,3.333261705196705,1.8433130494849546,16.824825990165014,5.515937020813945,21.30977828557116,16.022017635391997,0.0,94.91819323235816,0,False,False,0,253,683.0
human_synthetic:D01:C3,D01,C3,373,1766198155246,1766198196267,0,0,0.102,0.125,0.11,0.118,0.59014664344666,0.447115011295104,87,0,0,0.3615797288547402,1.2710536350315778,2.549058687793277,3.2053718276507777,1.7475048795777959,16.71519928237258,5.4984218186873814,22.224112028675023,15.05340237862858,0.0,51.38968609801676,0,False,False,153,220,914.0
human_synthetic:D01:C4,D01,C4,318,1766198196373,1766198229666,0,0,0.102,0.11,0.105,0.10719999999999999,0.7482189319120627,0.6401574876986629,19,0,0,0.7651586713077299,2.524299058121007,3.8108695896517872,3.054212998207449,1.167072803222495,20.70090128801559,3.6787363240921094,4.4480367132403185,2.5104497638079084,0.0,103.2184089159305,0,False,False,43,275,948.0
human_synthetic:D02:A1,D02,A1,245,1766197789852,1766197815289,0,0,0.101,0.119,0.104,0.109,0.7868103386915887,0.6049902370831551,34,0,0,0.6284173609460637,1.9851342396260248,2.9536188265159957,1.802861270452961,1.5157407975687378,9.576082467588447,3.8079584284621397,6.330192300318924,2.583686144464241,0.0,64.91733842584905,0,False,False,56,189,1220.0
human_synthetic:D02:A2,D02,A2,137,1766197815395,1766197830015,0,0,0.101,0.117,0.108,0.113,1.0181903659604485,1.0009003151198737,0,0,0,1.8765892131741355,3.447683105285738,5.316223855887241,2.6469988549631585,1.7753212862309746,15.213526614788139,3.7088482783222987,14.188764904331325,11.583633614949557,0.0,96.82271369007947,0,False,False,0,137,595.0
human_synthetic:D02:A3,D02,A3,419,1766197830125,1766197875939,0,0,0.101,0.12,0.109,0.116,1.000285566457126,0.6759895247077288,0,0,0,1.2342949691506924,2.1729776775872436,5.017348902821855,3.657750432554522,2.1716799074070274,20.78960726984056,4.1935060586834,32.85326681683707,24.39532248059681,0.0,197.16790095602357,0,False,False,0,419,232.0
human_synthetic:D02:A4,D02,A4,304,1766197876047,1766197908289,0,0,0.101,0.119,0.106,0.112,0.8530666204653402,0.6957914480006346,0,0,0,1.1302594443543623,2.763145501420434,5.8094209686852665,2.417304510238718,1.7640816017892231,29.700608964446996,4.193002457761781,21.95181030167209,19.447596289836216,0.0,134.66365726723313,0,False,False,1,303,439.0
human_synthetic:D02:A5,D02,A5,560,1766197908395,1766197970058,0,0,0.101,0.121,0.11,0.117,0.7930282407109196,0.5757717807657672,186,0,0,0.46894785914608555,1.782481361148307,3.94346055580489,3.4170431690945757,1.3637596897306887,15.47310559753234,2.961428192187831,14.312600425291336,2.5186172629800474,0.0,97.31127558694864,0,False,False,322,238,851.0
human_synthetic:D02:A6,D02,A6,131,1766197970168,1766197984179,0,0,0.102,0.116,0.108,0.113,0.7105299732131506,0.5950645339718891,0,0,0,0.9299680713132745,2.1415486335929454,2.743698021242242,3.68635581389172,2.784830826790815,21.14545562741863,5.469845636386636,19.80460825528111,18.3625532926098,0.0,47.438939213146725,0,False,False,0,131,728.0
human_synthetic:D02:A7,D02,A7,246,1766197984288,1766198010440,0,0,0.102,0.121,0.105,0.117,0.8328435552879284,0.6944742193006005,0,0,0,0.7907579573650344,2.655315079928653,5.149483677220353,2.506377901273251,1.579663257163216,10.87012492991993,3.654272517093572,13.001735897717026,10.529830774699615,0.0,94.46111692665772,0,False,False,0,246,830.0
human_synthetic:D02:B1,D02,B1,110,1766198010544,1766198022133,0,0,0.102,0.12,0.106,0.11059999999999999,0.9981682171242596,0.9801786539543563,0,0,0,2.183105309343974,4.1218236807978235,4.620766323388523,0.6941227158321933,0.635080563905259,2.5459493728466365,1.9097645061747248,7.696197384348944,6.550210216235486,0.0,90.71326017523684,0,False,False,0,110,980.0
human_synthetic:D02:B2,D02,B2,210,1766198022238,1766198044554,0,0,0.102,0.121,0.106,0.113,1.0081904861235818,0.9535123838715135,0,0,0,1.535966219586076,3.7246500780121523,5.2421652652230115,3.7423514362509542,2.3146791716763198,11.925455519747668,4.9617698536229335,6.945845375200644,5.001743378703209,0.0,129.9857810074195,0,False,False,0,210,557.0
human_synthetic:D02:B3,D02,B3,182,1766198044667,1766198064230,0,0,0.102,0.118,0.107,0.115,0.6218070748207908,0.5849238344632556,0,0,0,1.0253588702333123,2.333941366602417,4.259096380686563,3.599816994395789,1.5448906460059701,16.78510494923899,4.292672971147552,4.642305559885529,3.5961681170850444,0.0,73.16697278521471,0,False,False,0,182,897.0
human_synthetic:D02:B4,D02,B4,293,1766198064337,1766198094900,0,0,0.102,0.112,0.105,0.107,0.8737087655726107,0.7243152258596421,0,0,0,1.0245663574980255,2.592478735742687,4.146409655216882,2.25442057988856,0.6765552880302073,7.20860523523304,1.9018611008124577,19.88542752043805,15.975072898825877,0.0,126.44614163718461,0,False,False,0,293,945.0
human_synthetic:D02:C1,D02,C1,313,1766198095004,1766198128058,0,0,0.102,0.113,0.106,0.109,1.0034222135719175,0.9070698130367135,0,0,0,1.699520975966805,3.6465157692237806,4.998066149603748,3.2960175298491414,1.5913810297403337,15.058493908574343,4.407705012903114,28.359092771164338,20.997292727426,0.0,213.69148257455367,0,False,False,0,313,464.0
human_synthetic:D02:C2,D02,C2,253,1766198128174,1766198155134,0,0,0.102,0.122,0.107,0.113,0.8610329320452279,0.7355343577458194,0,0,0,0.9619572023370317,2.891993163282236,3.9466029656739714,3.531852238228568,1.936482075594396,17.518202176058555,5.423171149551172,20.226544115514365,15.22740702805454,0.0,94.91834247564748,0,False,False,0,253,646.0
human_synthetic:D02:C3,D02,C3,373,1766198155246,1766198196267,0,0,0.102,0.125,0.11,0.118,0.5778547102164149,0.4366918615298766,87,0,0,0.36305918700528206,1.2492733946334382,2.5079737187635445,3.2609970156619776,1.7891696064803373,17.13764851699512,5.552224935091216,21.41535982034311,13.325137702562666,0.0,51.35749319189597,0,False,False,153,220,919.0
human_synthetic:D02:C4,D02,C4,318,1766198196373,1766198229666,0,0,0.102,0.11,0.105,0.10719999999999999,0.7627840315051087,0.6579926517904032,19,0,0,0.7642890470010393,2.53283555495383,3.892758771534659,2.965265244810705,1.2217468677274832,19.724906999905663,3.5649371393784763,3.808489974266339,2.354401308135059,0.0,103.2203479657601,0,False,False,43,275,977.0
human_synthetic:D03:A1,D03,A1,245,1766197789852,1766197815289,0,0,0.101,0.119,0.104,0.109,0.7351353055972417,0.5833979655813222,34,0,0,0.6236876871208145,2.046456773482409,2.8686537139610557,1.9982504449641132,1.5411553579478834,9.275743128592206,3.7435744208021586,5.9077992002271795,2.59408921940691,0.0,64.91648847599001,0,False,False,56,189,1271.0
human_synthetic:D03:A2,D03,A2,137,1766197815395,1766197830015,0,0,0.101,0.117,0.108,0.113,0.9794035240795096,0.9620363761520432,0,0,0,1.882906854262483,3.342796902340326,5.130826036590083,2.4805488073515867,1.6316746701208826,14.581871067235824,3.5830926495437687,15.263184187575074,12.27118415518067,0.0,96.82268902049472,0,False,False,0,137,690.0
human_synthetic:D03:A3,D03,A3,419,1766197830125,1766197875939,0,0,0.101,0.12,0.109,0.116,0.9649886366567398,0.6587871735549804,0,0,0,1.2370185466810775,2.258975262071274,4.83861795186202,3.543357671832411,2.0939495455534045,20.1861214055693,4.046992693091079,33.00324888671995,24.84601553954898,0.0,197.17019884613563,0,False,False,0,419,335.0
human_synthetic:D03:A4,D03,A4,304,1766197876047,1766197908289,0,0,0.101,0.119,0.106,0.112,0.8298727069826095,0.7006876690487485,0,0,0,1.1203133391216056,2.8324081504792264,5.619398763522799,2.4010038766700776,1.7426804785876795,30.590178290159184,3.9994470695779967,21.854124499970627,19.082002802281163,0.0,134.6629006620086,0,False,False,1,303,476.0
human_synthetic:D03:A5,D03,A5,560,1766197908395,1766197970058,0,0,0.101,0.121,0.11,0.117,0.7979880793932232,0.5758164353674734,186,0,0,0.46199909423257457,1.7626516041947284,3.957902626126291,3.4809794407032477,1.388547094696254,15.776836735501387,3.0062073139280834,14.359160648803417,2.6604372767101525,0.0,97.39875900288531,0,False,False,322,238,815.0
human_synthetic:D03:A6,D03,A6,131,1766197970168,1766197984179,0,0,0.102,0.116,0.108,0.113,0.6949157174729211,0.5855921396041819,0,0,0,0.9304356719813608,2.096515788512104,2.7378222896048072,3.542609263580711,2.6804682728214257,20.38715463295138,5.307177395610979,20.340304478570456,18.56510703004477,0.0,47.437203466562025,0,False,False,0,131,774.0
