category,metric,paper_target,v2_calibrated,v2_raw,status,raw_status,unit_denominator,cluster_draws,note
structure,drivers_scenarios_runs_missing,"[20, 15, 300, 0]","[20, 15, 300, 0]",null,EXACT,,run,,
gates,candidate_gate1_both,"[78903, 40993, 15598]","[78903, 40993, 15598]",null,EXACT,,moment,,
flags,alpha80_below_above_inside_total,"{""n_below"": 879, ""n_above"": 676, ""n_inside"": 14043, ""n_total"": 15598}","{""n_below"": 879, ""n_above"": 676, ""n_inside"": 14043, ""n_total"": 15598}",null,EXACT,,judgeable moment,,
flags,alpha90_below_above_inside_total,"{""n_below"": 435, ""n_above"": 351, ""n_inside"": 14812, ""n_total"": 15598}","{""n_below"": 435, ""n_above"": 351, ""n_inside"": 14812, ""n_total"": 15598}",null,EXACT,,judgeable moment,,
flags,alpha95_below_above_inside_total,"{""n_below"": 189, ""n_above"": 167, ""n_inside"": 15242, ""n_total"": 15598}","{""n_below"": 189, ""n_above"": 167, ""n_inside"": 15242, ""n_total"": 15598}",null,EXACT,,judgeable moment,,
flags,alpha90_rate,0.05039107577894602,0.05039107577894602,null,EXACT,,"786/15,598 moments",,
flags,alpha90_scenario_range,"[0.017, 0.124]","[0.016602809706257982, 0.12395543175487465]",null,WITHIN_PRINTED_PRECISION,,15 scenarios,,
flags,alpha90_run_bootstrap_ci95,"[0.034, 0.055]","[0.04221849164014768, 0.05850213316040428]",null,CLEAR_MISMATCH,,300 driver-scenario runs,"run_id; B=1,000; canonical stable seed",
arm_comparison,av_to_human_ratio,1.95,1.9536534361612639,null,WITHIN_PRINTED_PRECISION,,"1,388/14,099 vs 786/15,598",,
arm_comparison,av_to_human_scenario_bootstrap_ci95,"[1.62, 2.39]","[1.6210048728002708, 2.392355891075095]",null,WITHIN_PRINTED_PRECISION,,15 scenarios,"scenario; B=20,000; seed=20260820",
arm_comparison,scenarios_av_higher,15,15,null,EXACT,,15 scenarios,,
ego_ttc,q25_lower_to_inside_ratio,0.9285714285714285,0.9285714285714285,1.2428783519709021,EXACT,CLEAR_MISMATCH,389/13568 calibrated moments,,Paper point match exists only on calibrated field.
ego_ttc,q50_lower_to_inside_ratio,0.8126463700234193,0.8126463700234193,0.7741188918147884,EXACT,CLEAR_MISMATCH,389/13568 calibrated moments,,Paper point match exists only on calibrated field.
ego_ttc,q75_lower_to_inside_ratio,0.704108164326573,0.704108164326573,0.49085236730500165,EXACT,CLEAR_MISMATCH,389/13568 calibrated moments,,Paper point match exists only on calibrated field.
ego_ttc,finite_n_lower_inside,"[389, 13568]","[389, 13568]","[389, 12583]",EXACT,CLEAR_MISMATCH,selected moments,,
ego_ttc,ttc_lt2_share_difference,-0.02296364195809284,-0.02296364195809284,-0.02737728934885216,EXACT,CLEAR_MISMATCH,"13/389 vs 765/13,568",,
ego_ttc,ttc_lt2_difference_ci95,"[-0.054, -0.009]","[-0.049066921422966564, -0.005454805708783488]",null,WITHIN_TOLERANCE_NOT_EXACT,,run-clustered selected moments,"run_id; B=1,000",
counterpart,n_lower_inside_cases,"[367, 12461, 186]","[367, 12461, 186]",null,EXACT,,anchor/case,,
counterpart,speed_drop_ratio,2.4551724137931035,2.4551724137931035,2.4999729312557046,EXACT,CLEAR_MISMATCH,"367/12,461 anchors",,
counterpart,speed_drop_ratio_ci95,"[1.24, 2.93]","[1.2454267798541236, 2.896203036797316]",null,WITHIN_TOLERANCE_NOT_EXACT,,,"synthetic_case_id; B=2,000",
counterpart,speed_range_ratio,1.4496644295302015,1.4496644295302015,1.4992175736549793,EXACT,CLEAR_MISMATCH,"367/12,461 anchors",,
counterpart,speed_range_ratio_ci95,"[1.22, 1.85]","[1.1979707095065384, 1.8473243377809576]",null,WITHIN_TOLERANCE_NOT_EXACT,,,"synthetic_case_id; B=2,000",
counterpart,brake_counts_lower_inside,"[231, 8964, 13672, 278593]","[231, 8964, 13672, 278593]","[427, 11371, 15870, 382958]",EXACT,CLEAR_MISMATCH,counterpart frames,,
counterpart,brake_share_difference,-0.023305428529556277,-0.023305428529556277,-0.003888909208836132,EXACT,CLEAR_MISMATCH,counterpart frames,,
counterpart,brake_difference_ci95,"[-0.045, -0.0089]","[-0.04407604629100153, -0.006309908840301126]",null,WITHIN_TOLERANCE_NOT_EXACT,,,"synthetic_case_id; B=1,000",
timing,nominal_sampling_interval_s,0.1,0.1,"[0.101, 0.125]",EXACT,CLEAR_MISMATCH,"81,580 adjacent frame intervals",,"31-frame paper window is retained, but raw timestamps are not strict 10 Hz."
identifiability,real_run_case_dependence,"""observed but unreleased""","""synthetic proxy""","""unavailable""",NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,,,Aggregate targets do not identify real cluster membership or covariance.
identifiability,full_joint_distribution,"""observed but unreleased""","""not claimed""","""unavailable""",NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,,,
