metric,endpoint,paper_target,v2_value,absolute_error,tolerance,normalized_error,within_tolerance
alpha90,lower,0.034,0.04221849164014768,0.00821849164014768,0.002,4.1092458200738395,false
alpha90,upper,0.055,0.05850213316040428,0.0035021331604042777,0.002,1.7510665802021388,false
ego_ttc,lower,-0.054,-0.049066921422966564,0.004933078577033435,0.005,0.986615715406687,true
ego_ttc,upper,-0.009,-0.005454805708783488,0.0035451942912165116,0.005,0.7090388582433023,true
speed_drop,lower,1.24,1.2454267798541236,0.005426779854123653,0.05,0.10853559708247307,true
speed_drop,upper,2.93,2.896203036797316,0.033796963202683994,0.05,0.6759392640536799,true
speed_range,lower,1.22,1.1979707095065384,0.022029290493461584,0.05,0.4405858098692317,true
speed_range,upper,1.85,1.8473243377809576,0.002675662219042474,0.05,0.05351324438084948,true
braking,lower,-0.045,-0.04407604629100153,0.0009239537089984692,0.005,0.18479074179969385,true
braking,upper,-0.0089,-0.006309908840301126,0.002590091159698874,0.005,0.5180182319397748,true
