area,team_code,official_name,session_id,task_id,record_id,vehicle_id,vehicle_name_vehicle_log,vehicle_name_perception_log,vehicle_type,length_recorded,width_recorded,height_recorded,pic_license,first_timestamp_ms,evidence_path
shanghai,T1,CQUauto,6940-1766211847,6940,1766211847,1840,同济测试车,同济测试车,1,449,187,161,,1766211874605,data/onsite_competition/all_teams_dataset/teams/shanghai/07_T1_CQUauto/sessions/6940-1766211847
shanghai,T2,Liulang,6947-1766215908,6947,1766215908,3040,SEU_ROCKET,SEU_ROCKET,1,465,192,172,,1766215936213,data/onsite_competition/all_teams_dataset/teams/shanghai/10_T2_Liulang/sessions/6947-1766215908
shanghai,T3,e2e,6930-1766202635,6930,1766202635,3090,同济891,同济891,1,449,187,161,,1766202663039,data/onsite_competition/all_teams_dataset/teams/shanghai/08_T3_e2e/sessions/6930-1766202635
shanghai,T4,1216,6927-1766200590,6927,1766200590,3090,同济891,同济891,1,449,187,161,,1766200603130,data/onsite_competition/all_teams_dataset/teams/shanghai/09_T4_1216/sessions/6927-1766200590
shanghai,T4,1216,6944-1766214451,6944,1766214451,1840,同济测试车,同济测试车,1,449,187,161,,1766214479208,data/onsite_competition/all_teams_dataset/teams/shanghai/09_T4_1216/sessions/6944-1766214451
shanghai,T5,limitless,6925-1766198568,6925,1766198568,1840,同济测试车,同济测试车,1,449,187,161,,1766198596108,data/onsite_competition/all_teams_dataset/teams/shanghai/03_T5_limitless/sessions/6925-1766198568
shanghai,T6,thicv2025,6921-1766196941,6921,1766196941,2530,注入机,注入机,1,486,193,160,china,1766196959508,data/onsite_competition/all_teams_dataset/teams/shanghai/02_T6_thicv2025/sessions/6921-1766196941
shanghai,T7,SMU,6938-1766210823,6938,1766210823,3090,同济891,同济891,1,449,187,161,,1766210850143,data/onsite_competition/all_teams_dataset/teams/shanghai/04_T7_SMU/sessions/6938-1766210823
shanghai,T8,ADVRC,6932-1766206403,6932,1766206403,2810,vv6,vv6,1,470,186,200,china,1766206433120.5107,data/onsite_competition/all_teams_dataset/teams/shanghai/05_T8_ADVRC/sessions/6932-1766206403
shanghai,T9,takeover92,6928-1766201641,6928,1766201641,1840,同济测试车,同济测试车,1,449,187,161,,1766201669783,data/onsite_competition/all_teams_dataset/teams/shanghai/06_T9_takeover92/sessions/6928-1766201641
shanghai,T10,tievplus,6933-1766207438,6933,1766207438,3210,同济688,同济688,1,449,187,161,,1766207450633,data/onsite_competition/all_teams_dataset/teams/shanghai/11_T10_tievplus/sessions/6933-1766207438
shanghai,T10,tievplus,6948-1766217297,6948,1766217297,3210,同济688,同济688,1,449,187,161,,1766217310552,data/onsite_competition/all_teams_dataset/teams/shanghai/11_T10_tievplus/sessions/6948-1766217297
shanghai,T11,wsd,6923-1766197775,6923,1766197775,2490,WHUT_FSDzhuruji,WHUT_FSD,1,543,176,205,china,1766197789851,data/onsite_competition/all_teams_dataset/teams/shanghai/01_T11_wsd/sessions/6923-1766197775
shanghai,T12,mingde,6935-1766208365,6935,1766208365,1840,同济测试车,同济测试车,1,449,187,161,,1766208392832,data/onsite_competition/all_teams_dataset/teams/shanghai/12_T12_mingde/sessions/6935-1766208365
shanghai,T12,mingde,6953-1766219816,6953,1766219816,1840,同济测试车,同济测试车,1,449,187,161,,1766219844244,data/onsite_competition/all_teams_dataset/teams/shanghai/12_T12_mingde/sessions/6953-1766219816
