metric,denominator,old_value,new_value,acceptance_rule,result
unique_task_id,20 sessions,1,20,20 unique,PASS
unique_record_id,20 sessions,1,20,20 unique,PASS
unique_vehicle_id,20 sessions,1,20,20 unique placeholder values,PASS
unique_monitor_hash,20 files,1,20,20 unique,PASS
unique_simulation_hash,20 files,1,20,20 unique after time-axis rewrite,PASS
unique_perception_hash,20 files,20,20,20 unique,PASS
unique_vehicle_trajectory_hash,20 files,20,20,20 unique,PASS
session_name_with_forbidden_marker,20 sessions,20,0,0,PASS
session_notice_file,20 sessions,20,0,0,PASS
run_id_with_forbidden_marker,300 runs,300,0,0,PASS
ego_name_with_forbidden_marker,20 sessions,20,0,0,PASS
row_level_data_status_column,1 runs table,1,0,absent,PASS
unique_run_id,300 runs,300,300,300 unique,PASS
trajectory_frames,all normalized raw frames,81880,81880,unchanged,PASS
